parliamentary_constituency_name,All Premises,All Matched Premises,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,Number of premises with SFBB availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,SFBB availability (% premises),UFBB availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Full Fibre availability (% premises),% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA
WESTON-SUPER-MARE,54718,54503,39756,9419,57,211,803,4257,49175,9419,57,268,1071,5328,4471,1370,52615,0,0,72.7,17.2,0.1,0.4,1.5,7.8,72.7,17.2,0.1,0.5,2.0,9.7,8.2,2.5,96.2,0.0,0.0
WEST SUFFOLK,55337,55308,41240,10624,142,284,280,2738,51864,10624,142,426,706,3444,1491,760,54752,119,0,74.5,19.2,0.3,0.5,0.5,4.9,74.5,19.2,0.3,0.8,1.3,6.2,2.7,1.4,98.9,0.2,0.0
WEST TYRONE,38593,37890,20337,8332,2606,1863,1294,3458,28669,8332,2606,4469,5763,9221,8331,6478,37490,2154,456,52.7,21.6,6.8,4.8,3.4,9.0,52.7,21.6,6.8,11.6,14.9,23.9,21.6,16.8,97.1,5.6,1.2
WEST WORCESTERSHIRE,47425,47307,37186,3806,309,881,1245,3880,40992,3806,309,1190,2435,6315,2349,2677,45669,13104,5780,78.4,8.0,0.7,1.9,2.6,8.2,78.4,8.0,0.7,2.5,5.1,13.3,5.0,5.6,96.3,27.6,12.2
WIGAN,50122,50121,13583,35576,10,60,136,756,49159,35576,10,70,206,962,404,231,49766,16485,270,27.1,71.0,0.0,0.1,0.3,1.5,27.1,71.0,0.0,0.1,0.4,1.9,0.8,0.5,99.3,32.9,0.5
WIMBLEDON,45270,45267,8325,36175,1,10,133,623,44500,36175,1,11,144,767,6281,285,44529,0,0,18.4,79.9,0.0,0.0,0.3,1.4,18.4,79.9,0.0,0.0,0.3,1.7,13.9,0.6,98.4,0.0,0.0
WINCHESTER,45022,45006,18542,23942,73,212,276,1961,42484,23942,73,285,561,2522,1002,617,44343,0,0,41.2,53.2,0.2,0.5,0.6,4.4,41.2,53.2,0.2,0.6,1.2,5.6,2.2,1.4,98.5,0.0,0.0
WINDSOR,47774,47737,21470,22568,82,103,277,3237,44038,22568,82,185,462,3699,1636,622,46270,0,0,44.9,47.2,0.2,0.2,0.6,6.8,44.9,47.2,0.2,0.4,1.0,7.7,3.4,1.3,96.9,0.0,0.0
WIRRAL SOUTH,34435,34427,14479,18572,25,33,37,1281,33051,18572,25,58,95,1376,413,103,34398,1827,0,42.0,53.9,0.1,0.1,0.1,3.7,42.0,53.9,0.1,0.2,0.3,4.0,1.2,0.3,99.9,5.3,0.0
WIRRAL WEST,32935,32930,26992,3578,6,47,99,2208,30570,3578,6,53,152,2360,497,183,32572,309,0,82.0,10.9,0.0,0.1,0.3,6.7,82.0,10.9,0.0,0.2,0.5,7.2,1.5,0.6,98.9,0.9,0.0
WITHAM,42578,42556,33602,4394,267,496,469,3328,37996,4394,267,763,1232,4560,1643,1317,40481,0,0,78.9,10.3,0.6,1.2,1.1,7.8,78.9,10.3,0.6,1.8,2.9,10.7,3.9,3.1,95.1,0.0,0.0
