parliamentary_constituency_name,All Premises,All Matched Premises,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,Number of premises with SFBB availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,SFBB availability (% premises),UFBB availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Full Fibre availability (% premises),% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA
WITNEY,51010,50989,23805,24813,67,263,590,1451,48618,24813,67,330,920,2371,8526,1060,49940,0,0,46.7,48.6,0.1,0.5,1.2,2.8,46.7,48.6,0.1,0.6,1.8,4.6,16.7,2.1,97.9,0.0,0.0
WOKING,47414,47401,8925,37283,0,149,31,1013,46208,37283,0,149,180,1193,1623,193,47078,0,0,18.8,78.6,0.0,0.3,0.1,2.1,18.8,78.6,0.0,0.3,0.4,2.5,3.4,0.4,99.3,0.0,0.0
WOKINGHAM,51175,50562,20989,26050,18,108,519,2878,47039,26050,18,126,645,3523,5697,1587,48557,0,0,41.0,50.9,0.0,0.2,1.0,5.6,41.0,50.9,0.0,0.2,1.3,6.9,11.1,3.1,94.9,0.0,0.0
WOLVERHAMPTON NORTH EAST,41179,41125,7622,32690,0,1,260,552,40312,32690,0,1,261,813,359,315,40353,0,0,18.5,79.4,0.0,0.0,0.6,1.3,18.5,79.4,0.0,0.0,0.6,2.0,0.9,0.8,98.0,0.0,0.0
WOLVERHAMPTON SOUTH EAST,41667,41616,4607,36634,0,3,18,354,41241,36634,0,3,21,375,220,74,41537,0,0,11.1,87.9,0.0,0.0,0.0,0.8,11.1,87.9,0.0,0.0,0.1,0.9,0.5,0.2,99.7,0.0,0.0
WOLVERHAMPTON SOUTH WEST,40834,40819,5775,34040,0,0,15,989,39815,34040,0,0,15,1004,549,71,39883,0,0,14.1,83.4,0.0,0.0,0.0,2.4,14.1,83.4,0.0,0.0,0.0,2.5,1.3,0.2,97.7,0.0,0.0
WORCESTER,48646,48607,44546,3191,0,1,10,859,47737,3191,0,1,11,870,599,51,48436,20925,2229,91.6,6.6,0.0,0.0,0.0,1.8,91.6,6.6,0.0,0.0,0.0,1.8,1.2,0.1,99.6,43.0,4.6
WORKINGTON,40898,40843,37396,617,332,402,311,1785,38013,617,332,734,1045,2830,617,1142,40334,38,38,91.4,1.5,0.8,1.0,0.8,4.4,91.4,1.5,0.8,1.8,2.6,6.9,1.5,2.8,98.6,0.1,0.1
WORSLEY AND ECCLES SOUTH,49457,49451,5149,43402,12,106,188,594,48551,43402,12,118,306,900,25119,491,48756,735,0,10.4,87.8,0.0,0.2,0.4,1.2,10.4,87.8,0.0,0.2,0.6,1.8,50.8,1.0,98.6,1.5,0.0
WORTHING WEST,49593,49586,20004,29088,0,1,8,485,49092,29088,0,1,9,494,932,16,49523,0,0,40.3,58.7,0.0,0.0,0.0,1.0,40.3,58.7,0.0,0.0,0.0,1.0,1.9,0.0,99.9,0.0,0.0
WREXHAM,35137,34641,18909,14464,20,98,97,1053,33373,14464,20,118,215,1268,14479,787,34079,13776,469,53.8,41.2,0.1,0.3,0.3,3.0,53.8,41.2,0.1,0.3,0.6,3.6,41.2,2.2,97.0,39.2,1.3
WYCOMBE,47139,47058,29453,15747,50,285,139,1384,45200,15747,50,335,474,1858,844,555,46688,0,0,62.5,33.4,0.1,0.6,0.3,2.9,62.5,33.4,0.1,0.7,1.0,3.9,1.8,1.2,99.0,0.0,0.0
WYRE AND PRESTON NORTH,44343,44280,27985,13651,77,98,337,2132,41636,13651,77,175,512,2644,3913,613,43606,13351,7272,63.1,30.8,0.2,0.2,0.8,4.8,63.1,30.8,0.2,0.4,1.2,6.0,8.8,1.4,98.3,30.1,16.4
WYRE FOREST,48100,48061,23724,22479,140,151,371,1196,46203,22479,140,291,662,1858,420,723,47829,1412,172,49.3,46.7,0.3,0.3,0.8,2.5,49.3,46.7,0.3,0.6,1.4,3.9,0.9,1.5,99.4,2.9,0.4
WYTHENSHAWE AND SALE EAST,50461,50409,6583,42414,12,185,493,722,48997,42414,12,197,690,1412,8461,960,49304,1958,1460,13.0,84.1,0.0,0.4,1.0,1.4,13.0,84.1,0.0,0.4,1.4,2.8,16.8,1.9,97.7,3.9,2.9
YEOVIL,55109,55003,49294,508,223,878,615,3485,49802,508,223,1101,1716,5201,508,1894,53976,74,74,89.4,0.9,0.4,1.6,1.1,6.3,89.4,0.9,0.4,2.0,3.1,9.4,0.9,3.4,97.9,0.1,0.1
YNYS MÔN,36935,36825,27003,5813,260,494,543,2712,32816,5813,260,754,1297,4009,5813,1462,35578,8311,2569,73.1,15.7,0.7,1.3,1.5,7.3,73.1,15.7,0.7,2.0,3.5,10.9,15.7,4.0,96.3,22.5,7.0
YORK CENTRAL,53892,53727,8004,42226,0,22,158,3317,50230,42226,0,22,180,3497,21245,376,50311,2294,778,14.9,78.4,0.0,0.0,0.3,6.2,14.9,78.4,0.0,0.0,0.3,6.5,39.4,0.7,93.4,4.3,1.4
YORK OUTER,44843,44821,14751,27645,36,203,210,1976,42396,27645,36,239,449,2425,21832,636,44108,4662,3033,32.9,61.6,0.1,0.5,0.5,4.4,32.9,61.6,0.1,0.5,1.0,5.4,48.7,1.4,98.4,10.4,6.8
