parl_const,parliamentary_constituency_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises able to receive decent broadband from FWA,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
E14000540,BARKING,53436,53376,98.3,88.6,88.4,49.5,88.4,0.0,0.3,0.7,1.6,0.0,98.3,52505,47353,47237,4,176,383,871,26461,47254,11,52526,0,9.9,88.4,0.0,0.0,0.3,0.4,0.9,5268,47237,4,172,207,488
E14000541,BARNSLEY CENTRAL,45348,45152,98.6,87.1,85.8,19.0,19.0,0.0,0.1,0.3,1.0,0.0,99.1,44701,39480,38911,1,57,114,451,8600,8603,2,44921,8728,12.8,85.8,19.2,0.0,0.1,0.1,0.7,5790,38911,1,56,57,337
E14000542,BARNSLEY EAST,44728,44521,98.3,82.1,79.4,41.8,41.8,0.0,0.1,0.2,1.3,0.0,99.0,43958,36705,35533,17,45,95,563,18678,18678,5,44279,4031,18.8,79.4,9.0,0.0,0.1,0.1,1.0,8425,35533,17,28,50,468
E14000543,BARROW AND FURNESS,46347,46119,96.7,4.6,4.6,4.6,4.6,0.2,0.5,0.8,2.8,0.4,99.3,44806,2135,2135,98,221,373,1313,2135,2135,195,46033,1251,92.1,4.6,2.7,0.2,0.3,0.3,2.0,42671,2135,98,123,152,940
E14000544,BASILDON AND BILLERICAY,43649,43485,97.3,79.7,78.3,30.8,30.8,0.1,0.3,0.6,2.4,0.0,99.0,42458,34804,34184,24,131,272,1027,13441,13441,4,43214,0,19.0,78.3,0.0,0.1,0.2,0.3,1.7,8274,34184,24,107,141,755
E14000545,BASINGSTOKE,53099,52989,98.0,75.6,74.6,31.8,74.6,0.0,0.2,0.3,1.8,0.0,98.6,52029,40144,39611,0,88,144,960,16862,39611,15,52332,0,23.4,74.6,0.0,0.0,0.2,0.1,1.5,12418,39611,0,88,56,816
E14000546,BASSETLAW,52955,52556,95.7,37.7,35.7,10.4,10.4,0.3,0.6,1.0,3.6,0.3,98.7,50655,19981,18920,185,326,546,1901,5486,5487,155,52278,10922,59.9,35.7,20.6,0.3,0.3,0.4,2.6,31735,18920,185,141,220,1355
E14000547,BATH,45526,45324,95.3,69.5,61.3,27.1,27.1,0.0,0.0,0.1,4.3,0.0,96.2,43369,31630,27901,0,10,68,1955,12336,12337,1,43782,0,34.0,61.3,0.0,0.0,0.0,0.1,4.1,15468,27901,0,10,58,1887
E14000548,BATLEY AND SPEN,49952,49719,96.9,79.7,79.6,53.1,54.3,0.0,0.1,0.1,2.6,0.0,98.9,48415,39827,39760,3,27,61,1304,26535,27099,1,49396,0,17.3,79.6,0.0,0.0,0.0,0.1,2.5,8655,39760,3,24,34,1243
E14000549,BATTERSEA,63129,62460,96.8,92.8,89.2,39.9,85.7,0.0,0.0,0.1,2.1,0.0,96.8,61107,58601,56313,0,0,58,1353,25203,54133,2,61114,0,7.6,89.2,0.0,0.0,0.0,0.1,2.1,4794,56313,0,0,58,1295
E14000550,BEACONSFIELD,47056,46891,93.7,57.6,53.8,35.0,44.3,0.0,0.3,1.4,5.9,0.2,98.1,44093,27084,25309,16,159,653,2798,16453,20849,114,46140,0,39.9,53.8,0.0,0.0,0.3,1.0,4.6,18784,25309,16,143,494,2145
E14000551,BECKENHAM,40891,40833,99.1,87.8,87.2,2.2,86.6,0.0,0.0,0.1,0.8,0.0,99.4,40512,35912,35656,2,4,26,321,889,35413,5,40652,0,11.9,87.2,0.0,0.0,0.0,0.1,0.7,4856,35656,2,2,22,295
E14000552,BEDFORD,50260,50104,98.2,91.3,88.1,9.8,35.1,0.0,0.1,0.2,1.5,0.0,98.4,49357,45890,44284,4,46,118,747,4945,17649,1,49464,0,10.1,88.1,0.0,0.0,0.1,0.1,1.3,5073,44284,4,42,72,629
E14000553,BERMONDSEY AND OLD SOUTHWARK,76553,75973,91.3,77.2,76.4,63.4,76.4,0.0,0.0,0.1,7.9,0.0,91.3,69913,59130,58515,0,7,102,6060,48540,58518,0,69927,0,14.9,76.4,0.0,0.0,0.0,0.1,7.8,11398,58515,0,7,95,5958
E14000554,BERWICK-UPON-TWEED,39877,39640,89.0,9.3,9.3,9.3,9.3,1.3,3.0,4.6,10.4,1.9,96.3,35501,3710,3708,528,1183,1844,4139,3707,3707,751,38400,3413,79.7,9.3,8.6,1.3,1.6,1.7,5.8,31793,3708,528,655,661,2295
E14000555,BETHNAL GREEN AND BOW,66448,65848,91.8,72.3,67.2,45.8,64.1,0.0,0.0,0.6,7.3,0.0,91.8,60977,48022,44681,0,0,393,4871,30462,42570,0,60998,0,24.5,67.2,0.0,0.0,0.0,0.6,6.7,16296,44681,0,0,393,4478
E14000556,BEVERLEY AND HOLDERNESS,49238,48634,95.6,72.6,72.6,72.6,72.6,0.4,0.9,1.4,3.1,0.3,97.5,47084,35726,35726,202,425,691,1550,35726,35726,131,48012,19917,23.1,72.6,40.5,0.4,0.5,0.5,1.7,11358,35726,202,223,266,859
E14000557,BEXHILL AND BATTLE,52862,52469,94.1,15.2,15.2,15.2,15.2,0.1,0.3,1.1,5.2,0.3,98.9,49727,8013,8013,34,159,575,2742,8013,8013,166,52280,0,78.9,15.2,0.0,0.1,0.2,0.8,4.1,41714,8013,34,125,416,2167
E14000558,BEXLEYHEATH AND CRAYFORD,39313,39218,97.6,91.2,91.1,60.3,91.0,0.0,0.0,0.6,2.2,0.0,97.7,38352,35865,35799,0,2,248,866,23708,35789,1,38415,0,6.5,91.1,0.0,0.0,0.0,0.6,1.6,2553,35799,0,2,246,618
E14000559,BIRKENHEAD,46964,46862,99.4,93.1,92.6,78.0,78.0,0.0,0.0,0.0,0.4,0.0,99.7,46664,43731,43508,0,0,6,198,36616,36616,0,46800,0,6.7,92.6,0.0,0.0,0.0,0.0,0.4,3156,43508,0,0,6,192
E14000560,"BIRMINGHAM, EDGBASTON",45157,44036,94.0,88.0,87.6,40.1,87.5,0.0,0.2,0.6,3.5,0.0,94.2,42455,39750,39567,14,79,266,1581,18121,39524,0,42517,0,6.4,87.6,0.0,0.0,0.1,0.4,2.9,2888,39567,14,65,187,1315
E14000561,"BIRMINGHAM, ERDINGTON",45626,45555,96.0,90.9,88.4,14.3,87.0,0.0,0.6,2.3,3.9,0.0,96.0,43782,41473,40320,1,276,1029,1773,6522,39676,1,43786,0,7.6,88.4,0.0,0.0,0.6,1.7,1.6,3462,40320,1,275,753,744
E14000562,"BIRMINGHAM, HALL GREEN",43842,43763,97.9,92.5,92.0,38.6,91.6,0.0,0.0,0.1,1.9,0.0,98.1,42924,40574,40323,0,6,51,839,16918,40172,0,42998,0,5.9,92.0,0.0,0.0,0.0,0.1,1.8,2601,40323,0,6,45,788
E14000563,"BIRMINGHAM, HODGE HILL",42567,42509,99.4,96.9,96.3,19.7,95.8,0.0,0.2,0.4,0.5,0.0,99.4,42301,41248,40995,0,68,159,208,8368,40775,1,42309,0,3.1,96.3,0.0,0.0,0.2,0.2,0.1,1306,40995,0,68,91,49
E14000564,"BIRMINGHAM, LADYWOOD",71521,69994,83.7,74.1,70.1,34.3,67.9,0.0,0.1,0.8,14.2,0.0,83.7,59837,52976,50152,0,43,548,10157,24533,48582,2,59840,0,13.5,70.1,0.0,0.0,0.1,0.7,13.4,9685,50152,0,43,505,9609
E14000565,"BIRMINGHAM, NORTHFIELD",47961,47905,97.3,92.6,92.3,15.1,92.3,0.0,0.0,1.3,2.6,0.0,97.5,46679,44399,44254,1,22,607,1226,7265,44254,0,46752,0,5.1,92.3,0.0,0.0,0.0,1.2,1.3,2425,44254,1,21,585,619
E14000566,"BIRMINGHAM, PERRY BARR",43402,43227,97.4,96.3,95.3,71.4,94.8,0.0,0.1,0.4,2.2,0.0,97.4,42266,41814,41377,5,51,168,961,30986,41141,0,42267,0,2.0,95.3,0.0,0.0,0.1,0.3,1.8,889,41377,5,46,117,793
E14000567,"BIRMINGHAM, SELLY OAK",45101,44569,97.1,93.8,93.6,40.8,93.8,0.0,0.0,0.4,1.7,0.0,97.2,43789,42298,42236,0,21,167,780,18392,42283,0,43853,0,3.4,93.6,0.0,0.0,0.0,0.3,1.4,1553,42236,0,21,146,613
E14000568,"BIRMINGHAM, YARDLEY",46210,46114,98.3,96.9,96.3,77.3,96.0,0.0,0.2,0.8,1.5,0.0,98.3,45427,44792,44478,9,71,386,687,35731,44368,0,45429,0,2.1,96.3,0.0,0.0,0.1,0.7,0.7,949,44478,9,62,315,301
E14000569,BISHOP AUCKLAND,46952,46709,91.6,38.4,38.4,38.4,38.4,1.0,2.1,3.1,7.8,1.2,98.1,43025,18049,18049,467,970,1441,3684,18048,18048,575,46081,71,53.2,38.4,0.2,1.0,1.1,1.0,4.8,24976,18049,467,503,471,2243
E14000570,BLACKBURN,47794,47514,97.9,74.7,74.4,7.8,7.8,0.0,0.1,0.2,1.5,0.0,98.5,46802,35686,35570,1,56,84,712,3729,3742,6,47060,32359,23.5,74.4,67.7,0.0,0.1,0.1,1.3,11232,35570,1,55,28,628
E14000571,BLACKLEY AND BROUGHTON,53154,52997,95.6,71.8,66.9,21.7,64.4,0.0,0.1,1.7,4.1,0.0,96.3,50799,38182,35542,9,47,915,2198,11516,34246,3,51195,0,28.7,66.9,0.0,0.0,0.1,1.6,2.4,15257,35542,9,38,868,1283
E14000572,BLACKPOOL NORTH AND CLEVELEYS,44434,44355,98.7,54.5,54.3,2.8,2.8,0.0,0.0,0.1,1.2,0.0,99.2,43837,24211,24147,2,10,28,518,1258,1259,0,44073,454,44.3,54.3,1.0,0.0,0.0,0.0,1.1,19690,24147,2,8,18,490
E14000573,BLACKPOOL SOUTH,45495,45272,97.8,70.2,69.9,0.8,0.8,0.0,0.0,0.0,1.7,0.0,97.9,44496,31919,31806,1,3,9,776,364,364,1,44551,6623,27.9,69.9,14.6,0.0,0.0,0.0,1.7,12690,31806,1,2,6,767
E14000574,BLAYDON,44508,44092,92.9,49.5,48.3,7.7,7.7,0.1,0.5,1.5,6.2,0.1,96.5,41329,22012,21486,49,210,675,2763,3408,3409,35,42951,1,44.6,48.3,0.0,0.1,0.4,1.0,4.7,19843,21486,49,161,465,2088
E14000575,BLYTH VALLEY,41443,41343,98.3,37.6,26.1,18.9,18.9,0.1,0.1,0.1,1.5,0.0,99.7,40738,15580,10804,23,32,43,605,7819,7819,9,41334,0,72.2,26.1,0.0,0.1,0.0,0.0,1.4,29934,10804,23,9,11,562
E14000576,BOGNOR REGIS AND LITTLEHAMPTON,52271,52060,96.6,13.9,13.9,13.9,13.9,0.1,0.1,0.2,3.0,0.0,99.2,50514,7272,7272,48,59,90,1546,7272,7272,4,51869,0,82.7,13.9,0.0,0.1,0.0,0.1,2.8,43242,7272,48,11,31,1456
E14000577,BOLSOVER,48497,48289,93.4,36.2,32.2,13.7,13.7,0.0,0.2,0.5,6.2,0.2,98.1,45299,17576,15639,21,99,220,2990,6630,6630,73,47578,0,61.2,32.2,0.0,0.0,0.2,0.2,5.7,29660,15639,21,78,121,2770
E14000578,BOLTON NORTH EAST,47456,47192,98.6,90.3,88.1,5.4,86.8,0.0,0.1,0.2,0.8,0.0,99.1,46798,42868,41823,0,32,98,394,2567,41175,0,47031,0,10.5,88.1,0.0,0.0,0.1,0.1,0.6,4975,41823,0,32,66,296
E14000579,BOLTON SOUTH EAST,47632,47422,98.3,89.9,89.0,27.8,87.7,0.0,0.2,0.2,1.3,0.1,98.7,46819,42826,42373,10,73,93,603,13228,41777,33,47023,0,9.3,89.0,0.0,0.0,0.1,0.0,1.1,4446,42373,10,63,20,510
E14000580,BOLTON WEST,46150,46020,97.6,84.2,82.9,4.8,82.3,0.0,0.1,0.3,2.1,0.1,99.1,45064,38842,38258,13,27,157,956,2222,38001,34,45735,4588,14.7,82.9,9.9,0.0,0.0,0.3,1.7,6806,38258,13,14,130,799
E14000581,BOOTLE,50038,49954,99.1,91.1,90.7,47.4,90.7,0.0,0.1,0.2,0.7,0.0,99.4,49582,45569,45396,4,44,106,372,23700,45396,5,49719,0,8.4,90.7,0.0,0.0,0.1,0.1,0.5,4186,45396,4,40,62,266
E14000582,BOSTON AND SKEGNESS,53842,53229,89.2,15.5,10.8,7.5,7.5,0.7,2.0,3.6,9.7,0.6,96.5,48006,8337,5815,403,1079,1965,5223,4015,4015,325,51966,25355,78.4,10.8,47.1,0.7,1.3,1.6,6.1,42191,5815,403,676,886,3258
E14000583,BOSWORTH,51569,51184,96.4,63.4,60.3,9.7,9.7,0.1,0.8,1.1,2.8,0.2,98.3,49736,32687,31074,31,437,556,1448,5023,5025,109,50678,0,36.2,60.3,0.0,0.1,0.8,0.2,1.7,18662,31074,31,406,119,892
E14000584,BOURNEMOUTH EAST,51907,51734,98.3,92.6,89.5,58.5,86.1,0.6,0.6,0.9,1.4,0.0,99.3,51025,48072,46467,298,300,451,709,30355,44705,0,51551,5,8.8,89.5,0.0,0.6,0.0,0.3,0.5,4558,46467,298,2,151,258
E14000585,BOURNEMOUTH WEST,53224,52737,98.5,83.1,79.7,44.8,52.9,0.0,0.0,0.1,0.6,0.0,98.8,52403,44253,42429,0,14,32,334,23862,28148,0,52593,193,18.7,79.7,0.4,0.0,0.0,0.0,0.6,9974,42429,0,14,18,302
E14000586,BRACKNELL,49576,49196,95.2,59.4,56.1,10.1,54.4,0.0,0.1,0.7,4.0,0.0,97.2,47220,29462,27815,3,28,364,1976,5027,26991,21,48170,546,39.1,56.1,1.1,0.0,0.1,0.7,3.3,19405,27815,3,25,336,1612
E14000587,BRADFORD EAST,44973,44889,97.9,87.9,87.2,7.5,83.5,0.0,0.1,0.2,1.9,0.0,98.3,44049,39528,39203,0,36,71,840,3359,37543,0,44207,10918,10.8,87.2,24.3,0.0,0.1,0.1,1.7,4846,39203,0,36,35,769
E14000588,BRADFORD SOUTH,45452,45405,97.8,86.0,84.6,6.1,79.1,0.0,0.2,0.3,2.1,0.0,99.0,44464,39086,38446,7,89,153,941,2773,35972,0,44977,939,13.2,84.6,2.1,0.0,0.2,0.1,1.7,6018,38446,7,82,64,788
E14000589,BRADFORD WEST,41826,41153,94.5,84.8,83.3,4.0,80.7,0.0,0.2,0.4,3.9,0.0,95.0,39517,35456,34834,8,76,158,1636,1663,33763,2,39730,3709,11.2,83.3,8.9,0.0,0.2,0.2,3.5,4683,34834,8,68,82,1478
E14000590,BRAINTREE,47422,47136,95.2,31.6,31.6,31.5,31.5,0.2,0.7,1.1,4.2,0.3,98.2,45148,14978,14978,118,318,545,1988,14950,14950,151,46562,6096,63.6,31.6,12.9,0.2,0.4,0.5,3.0,30170,14978,118,200,227,1443
E14000591,BRENT CENTRAL,67033,66095,94.9,70.7,65.7,44.0,63.5,0.0,0.6,1.3,3.7,0.0,95.0,63643,47405,44020,0,386,902,2452,29471,42589,1,63692,0,29.3,65.7,0.0,0.0,0.6,0.8,2.3,19623,44020,0,386,516,1550
E14000592,BRENT NORTH,49839,49444,97.2,86.4,85.3,36.8,84.5,0.0,0.1,0.2,2.0,0.0,97.2,48428,43081,42492,3,53,103,1016,18348,42116,0,48440,0,11.9,85.3,0.0,0.0,0.1,0.1,1.8,5936,42492,3,50,50,913
E14000593,BRENTFORD AND ISLEWORTH,56686,55923,96.4,85.6,85.3,15.2,85.3,0.0,0.1,0.2,2.2,0.0,96.6,54672,48538,48371,0,41,140,1251,8622,48348,2,54737,0,11.1,85.3,0.0,0.0,0.1,0.2,2.0,6301,48371,0,41,99,1111
E14000594,BRENTWOOD AND ONGAR,45555,45216,94.7,50.4,50.4,44.7,50.4,0.1,0.3,0.8,4.5,0.2,97.3,43160,22967,22966,56,159,355,2056,20373,22964,107,44319,758,44.3,50.4,1.7,0.1,0.2,0.4,3.7,20194,22966,56,103,196,1701
E14000595,BRIDGWATER AND WEST SOMERSET,57711,57381,90.3,30.6,24.0,20.5,20.5,0.8,2.1,3.8,9.1,1.1,97.0,52104,17664,13874,449,1189,2179,5277,11813,11813,622,55952,4251,66.2,24.0,7.4,0.8,1.3,1.7,5.4,38230,13874,449,740,990,3098
E14000596,BRIGG AND GOOLE,42005,41745,92.2,35.4,35.4,32.4,35.3,0.7,1.4,1.9,7.2,0.3,96.9,38741,14864,14861,303,592,804,3004,13625,14844,142,40686,25727,56.9,35.4,61.2,0.7,0.7,0.5,5.2,23880,14861,303,289,212,2200
E14000597,"BRIGHTON, KEMPTOWN",46121,45874,97.3,77.5,77.0,21.0,21.0,0.0,0.0,0.1,2.1,0.0,98.2,44884,35766,35536,0,3,41,990,9680,9680,11,45290,0,20.3,77.0,0.0,0.0,0.0,0.1,2.1,9348,35536,0,3,38,949
E14000598,"BRIGHTON, PAVILION",54707,53687,95.4,85.1,82.4,27.9,27.9,0.0,0.4,1.5,2.7,0.0,95.6,52196,46554,45101,4,201,828,1491,15287,15288,7,52294,0,13.0,82.4,0.0,0.0,0.4,1.1,1.2,7095,45101,4,197,627,663
E14000599,BRISTOL EAST,46752,46526,97.2,90.9,90.4,44.4,87.0,0.0,0.2,0.7,2.3,0.3,97.3,45437,42508,42248,3,77,320,1089,20767,40655,159,45484,0,6.8,90.4,0.0,0.0,0.2,0.5,1.6,3189,42248,3,74,243,769
E14000600,BRISTOL NORTH WEST,45968,45866,97.3,88.8,88.0,19.6,87.8,0.0,0.1,0.7,2.5,0.1,97.9,44728,40839,40464,2,53,333,1138,9023,40381,62,44987,38,9.3,88.0,0.1,0.0,0.1,0.6,1.8,4264,40464,2,51,280,805
E14000601,BRISTOL SOUTH,52606,52134,97.9,95.3,95.0,80.2,80.2,0.0,0.0,0.2,1.2,0.0,98.0,51515,50158,49997,6,19,96,619,42179,42181,0,51537,0,2.9,95.0,0.0,0.0,0.0,0.1,1.0,1518,49997,6,13,77,523
E14000602,BRISTOL WEST,66242,65565,91.6,85.8,84.0,52.3,79.5,0.0,0.0,0.4,7.4,0.0,91.6,60654,56837,55670,1,1,248,4911,34619,52686,11,60660,0,7.5,84.0,0.0,0.0,0.0,0.4,7.0,4984,55670,1,0,247,4663
E14000603,BROADLAND,48459,48151,91.3,17.1,13.7,10.4,10.5,0.5,1.3,2.6,8.1,2.0,97.7,44219,8269,6648,222,636,1239,3932,5059,5066,972,47335,23,77.5,13.7,0.0,0.5,0.9,1.2,5.6,37571,6648,222,414,603,2693
E14000604,BROMLEY AND CHISLEHURST,42382,42277,97.5,87.1,87.0,16.1,85.1,0.0,0.0,0.1,2.2,0.0,98.4,41338,36927,36868,0,2,38,939,6821,36066,0,41706,0,10.5,87.0,0.0,0.0,0.0,0.1,2.1,4470,36868,0,2,36,901
E14000605,BROMSGROVE,45158,44898,96.9,73.7,73.6,53.6,73.6,0.0,0.3,0.6,2.5,0.1,99.1,43774,33281,33245,21,135,256,1124,24196,33245,60,44753,41,23.3,73.6,0.1,0.0,0.3,0.3,1.9,10529,33245,21,114,121,868
E14000606,BROXBOURNE,45478,45420,98.4,88.0,84.6,5.5,5.5,0.1,0.1,0.2,1.5,0.0,99.3,44746,40005,38484,25,36,100,674,2508,2508,5,45140,0,13.8,84.6,0.0,0.1,0.0,0.1,1.3,6262,38484,25,11,64,574
E14000607,BROXTOWE,45108,45006,98.7,91.9,90.9,13.3,13.3,0.0,0.1,0.2,1.0,0.0,99.4,44544,41461,40986,14,51,97,462,5994,5994,0,44833,0,7.9,90.9,0.0,0.0,0.1,0.1,0.8,3558,40986,14,37,46,365
E14000608,BUCKINGHAM,49749,49037,90.1,40.2,36.5,33.9,33.9,0.4,1.8,3.3,8.4,0.9,94.8,44843,19988,18144,213,875,1624,4194,16882,16889,445,47164,218,53.7,36.5,0.4,0.4,1.3,1.5,5.2,26699,18144,213,662,749,2570
E14000609,BURNLEY,45504,45290,97.8,79.0,79.0,1.9,79.0,0.1,0.1,0.3,1.7,0.0,99.1,44499,35940,35932,31,50,123,791,857,35931,15,45104,27833,18.8,79.0,61.2,0.1,0.0,0.2,1.5,8567,35932,31,19,73,668
E14000610,BURTON,51180,50809,95.4,43.0,39.0,34.5,34.5,0.2,0.6,1.1,3.9,0.1,98.7,48829,22005,19946,117,288,572,1980,17652,17652,67,50502,0,56.4,39.0,0.0,0.2,0.3,0.6,2.8,28883,19946,117,171,284,1408
E14000611,BURY NORTH,43416,42788,97.0,65.8,57.8,40.1,50.2,0.0,0.2,0.2,1.6,0.2,98.5,42101,28585,25109,11,71,106,687,17413,21806,98,42744,0,39.1,57.8,0.0,0.0,0.1,0.1,1.3,16992,25109,11,60,35,581
E14000612,BURY SOUTH,46528,45895,97.8,89.0,88.4,78.3,88.1,0.0,0.0,0.1,0.9,0.1,98.5,45490,41427,41136,0,10,45,405,36451,41000,41,45844,0,9.4,88.4,0.0,0.0,0.0,0.1,0.8,4354,41136,0,10,35,360
E14000613,BURY ST EDMUNDS,57068,56469,94.0,26.1,21.0,17.5,17.5,0.2,0.3,0.6,5.0,0.4,98.3,53643,14868,11979,89,186,353,2826,9985,9985,204,56085,0,73.0,21.0,0.0,0.2,0.2,0.3,4.3,41664,11979,89,97,167,2473
E14000614,CALDER VALLEY,52672,52377,91.8,34.0,33.9,9.7,9.7,0.2,0.6,1.1,7.6,0.1,98.0,48375,17932,17862,108,309,586,4002,5091,5092,75,51637,0,57.9,33.9,0.0,0.2,0.4,0.5,6.5,30513,17862,108,201,277,3416
E14000615,CAMBERWELL AND PECKHAM,57774,57471,96.0,83.1,82.5,52.9,82.4,0.0,0.1,0.2,3.5,0.0,96.0,55438,48013,47657,0,55,140,2033,30571,47592,0,55446,0,13.5,82.5,0.0,0.0,0.1,0.1,3.3,7781,47657,0,55,85,1893
E14000616,CAMBORNE AND REDRUTH,46776,46229,86.7,37.3,37.3,37.3,37.3,0.2,1.1,2.6,12.1,0.7,91.9,40566,17437,17430,100,492,1237,5663,17430,17430,343,43001,893,49.5,37.3,1.9,0.2,0.8,1.6,9.5,23136,17430,100,392,745,4426
E14000617,CAMBRIDGE,55937,55788,98.7,92.2,90.1,43.3,43.3,0.0,0.0,0.1,1.0,0.0,98.7,55214,51593,50383,1,19,73,574,24217,24217,2,55232,0,8.6,90.1,0.0,0.0,0.0,0.1,0.9,4831,50383,1,18,54,501
E14000618,CANNOCK CHASE,48031,47774,97.5,36.8,36.7,15.5,36.5,0.0,0.1,0.2,2.0,0.1,99.2,46810,17664,17619,16,38,105,964,7437,17555,58,47632,0,60.8,36.7,0.0,0.0,0.0,0.1,1.8,29191,17619,16,22,67,859
E14000619,CANTERBURY,53361,52972,93.2,13.6,13.6,13.6,13.6,0.3,0.7,1.3,6.1,0.3,98.9,49734,7269,7268,150,375,703,3238,7269,7269,158,52769,8955,79.6,13.6,16.8,0.3,0.4,0.6,4.8,42466,7268,150,225,328,2535
