parl_const,parliamentary_constituency_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises able to receive decent broadband from FWA,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
E14000530,ALDERSHOT,47679,47503,97.0,82.0,81.7,4.8,46.6,0.1,0.8,1.5,2.6,0.4,97.4,46266,39086,38976,52,384,724,1237,2310,22211,181,46431,0,15.3,81.7,0.0,0.1,0.7,0.7,1.1,7290,38976,52,332,340,513
E14000531,ALDRIDGE-BROWNHILLS,34179,34121,97.9,83.7,79.8,17.5,78.5,0.0,0.0,0.4,1.9,0.0,98.6,33462,28601,27281,2,4,137,659,5989,26819,8,33707,0,18.1,79.8,0.0,0.0,0.0,0.4,1.5,6181,27281,2,2,133,522
E14000532,ALTRINCHAM AND SALE WEST,45091,44986,96.7,70.4,62.1,2.6,55.9,0.1,0.4,0.5,3.0,0.0,98.9,43620,31748,28024,57,183,237,1366,1185,25220,18,44582,107,34.6,62.1,0.2,0.1,0.3,0.1,2.5,15596,28024,57,126,54,1129
E14000533,AMBER VALLEY,44260,43969,95.2,27.9,27.3,27.0,27.0,0.0,0.2,0.5,4.2,0.2,98.8,42126,12365,12068,17,71,224,1843,11945,11945,78,43740,1,67.9,27.3,0.0,0.0,0.1,0.3,3.7,30058,12068,17,54,153,1619
E14000534,ARUNDEL AND SOUTH DOWNS,49318,48899,90.3,12.0,10.8,10.1,10.1,0.4,1.2,2.5,8.9,1.1,98.3,44528,5898,5324,221,612,1212,4371,4963,4963,519,48470,0,79.5,10.8,0.0,0.4,0.8,1.2,6.4,39204,5324,221,391,600,3159
E14000535,ASHFIELD,50050,49821,97.7,87.6,87.3,4.0,4.0,0.0,0.4,0.6,1.8,0.0,98.6,48917,43822,43683,11,216,277,904,2017,2017,24,49360,0,10.5,87.3,0.0,0.0,0.4,0.1,1.3,5234,43683,11,205,61,627
E14000536,ASHFORD,56767,56388,91.6,53.8,50.7,12.2,46.5,0.2,1.4,2.7,7.7,0.6,98.2,52002,30523,28790,133,776,1560,4386,6912,26378,331,55742,19545,40.9,50.7,34.4,0.2,1.1,1.4,5.0,23212,28790,133,643,784,2826
E14000537,ASHTON-UNDER-LYNE,47947,47755,98.5,81.6,80.9,40.1,79.8,0.0,0.0,0.1,1.1,0.0,99.1,47241,39143,38786,2,11,52,514,19231,38239,0,47530,0,17.6,80.9,0.0,0.0,0.0,0.1,1.0,8455,38786,2,9,41,462
E14000538,AYLESBURY,54190,53823,96.5,68.9,63.2,11.2,58.3,0.0,0.2,0.4,2.9,0.1,98.5,52267,37356,34243,15,127,226,1556,6052,31605,60,53360,1,33.3,63.2,0.0,0.0,0.2,0.2,2.5,18024,34243,15,112,99,1330
E14000539,BANBURY,60777,60252,95.8,44.3,34.7,14.7,14.7,0.3,0.5,1.1,3.4,0.2,97.9,58202,26903,21082,172,307,671,2050,8920,8920,119,59497,254,61.1,34.7,0.4,0.3,0.2,0.6,2.3,37120,21082,172,135,364,1379
