parl_const,parliamentary_constituency_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises able to receive decent broadband from FWA,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
E14000562,"BIRMINGHAM, HALL GREEN",44022,43977,98,92.8,92.4,39.6,91.7,0,0,0.1,1.9,0,98.1,43123,40847,40668,0,3,36,854,17417,40376,1,43198,0,5.6,92.4,0,0,0,0.1,1.9,2455,40668,0,3,33,818
E14000563,"BIRMINGHAM, HODGE HILL",42742,42692,99.4,97.1,96.7,20.8,96.1,0,0.1,0.4,0.5,0,99.4,42470,41489,41341,0,62,183,222,8881,41067,1,42478,0,2.6,96.7,0,0,0.1,0.3,0.1,1129,41341,0,62,121,39
E14000564,"BIRMINGHAM, LADYWOOD",73435,72357,85.4,76.5,75.3,41.7,72.9,0,0.1,0.5,13.1,0.1,85.4,62739,56181,55264,0,62,361,9618,30638,53503,54,62742,0,10.2,75.3,0,0,0.1,0.4,12.6,7475,55264,0,62,299,9257
E14000565,"BIRMINGHAM, NORTHFIELD",48120,48099,97.6,93.2,93.2,16.3,89.3,0,0.1,1.1,2.4,0,97.7,46963,44830,44830,0,68,547,1136,7825,42950,1,47029,42,4.4,93.2,0.1,0,0.1,1,1.2,2133,44830,0,68,479,589
E14000566,"BIRMINGHAM, PERRY BARR",43129,43088,98.8,97.9,97.4,76.9,96.6,0,0.1,0.3,1.1,0,98.8,42620,42210,42005,12,53,129,468,33152,41657,3,42620,0,1.4,97.4,0,0,0.1,0.2,0.8,615,42005,12,41,76,339
E14000567,"BIRMINGHAM, SELLY OAK",45287,45227,98.4,94.5,94.4,49.5,93.3,0,0,0.3,1.4,0,98.5,44581,42785,42736,1,4,150,646,22434,42244,0,44628,0,4.1,94.4,0,0,0,0.3,1.1,1845,42736,1,3,146,496
E14000568,"BIRMINGHAM, YARDLEY",46588,46543,98.4,97.2,96.9,80.9,96.6,0,0.1,0.6,1.5,0,98.4,45848,45287,45157,0,64,273,695,37672,45000,4,45852,0,1.5,96.9,0,0,0.1,0.4,0.9,691,45157,0,64,209,422
E14000569,BISHOP AUCKLAND,47367,47212,92.1,45.7,45.7,45.7,45.7,0.9,1.8,2.8,7.6,0.7,98.3,43621,21668,21668,422,864,1330,3591,21667,21668,328,46549,624,46.3,45.7,1.3,0.9,0.9,1,4.8,21953,21668,422,442,466,2261
E14000570,BLACKBURN,48211,47964,98.1,75.3,75.3,10.5,75,0,0.1,0.2,1.3,0,98.6,47315,36287,36287,1,49,79,649,5075,36172,3,47558,32375,22.9,75.3,67.2,0,0.1,0.1,1.2,11028,36287,1,48,30,570
E14000571,BLACKLEY AND BROUGHTON,53583,53402,96.6,80.1,78.2,36.5,76.4,0,0.1,1.1,3.1,0,97.1,51749,42912,41902,5,54,572,1653,19574,40958,3,52028,0,18.4,78.2,0,0,0.1,1,2,9847,41902,5,49,518,1081
E14000572,BLACKPOOL NORTH AND CLEVELEYS,44652,44470,98.4,55.7,55.6,7.8,55.6,0,0,0.1,1.2,0,98.9,43934,24858,24827,4,13,26,536,3472,24834,1,44175,456,42.8,55.6,1,0,0,0,1.1,19107,24827,4,9,13,510
E14000573,BLACKPOOL SOUTH,45742,45440,97.7,70.2,70.2,1.2,70.1,0,0,0,1.7,0,97.8,44671,32118,32105,4,8,8,769,559,32062,1,44718,6720,27.5,70.2,14.7,0,0,0,1.7,12566,32105,4,4,0,761
E14000574,BLAYDON,44728,44527,93.6,51.6,51.1,10.8,49.8,0.1,0.5,1.5,5.9,0.1,97,41880,23085,22839,41,203,690,2647,4830,22261,30,43378,2,42.6,51.1,0,0.1,0.4,1.1,4.4,19041,22839,41,162,487,1957
E14000575,BLYTH VALLEY,42068,41983,99.2,84.7,83.2,80.9,81.6,0.1,0.1,0.1,0.6,0,99.8,41728,35611,34994,26,32,51,255,34045,34317,6,41977,0,16,83.2,0,0.1,0,0,0.5,6734,34994,26,6,19,204
E14000576,BOGNOR REGIS AND LITTLEHAMPTON,52744,52596,97.6,31.2,31.2,31.2,31.2,0,0,0.1,2.1,0,99.7,51498,16441,16440,12,25,44,1098,16440,16440,9,52587,0,66.5,31.2,0,0,0,0,2,35058,16440,12,13,19,1054
E14000577,BOLSOVER,49262,49092,94.3,38.9,35.7,17.7,34.1,0.1,0.2,0.6,5.4,0.1,98.4,46432,19146,17580,43,88,274,2660,8735,16779,65,48478,0,58.6,35.7,0,0.1,0.1,0.4,4.8,28852,17580,43,45,186,2386
E14000578,BOLTON NORTH EAST,47718,47604,98.8,91.8,90,26.7,88.8,0,0.1,0.2,0.9,0,99.3,47156,43812,42966,0,33,100,448,12758,42354,1,47377,0,8.8,90,0,0,0.1,0.1,0.7,4190,42966,0,33,67,348
E14000579,BOLTON SOUTH EAST,47572,47425,98.7,92.6,91.9,46.3,89.8,0,0.1,0.2,1,0,99.1,46948,44056,43723,13,69,96,477,22042,42718,3,47132,0,6.8,91.9,0,0,0.1,0.1,0.8,3225,43723,13,56,27,381
E14000580,BOLTON WEST,46423,46354,97.9,84.9,83.7,7.1,81.9,0,0,0.3,2,0,99.3,45436,39411,38874,10,20,122,918,3300,38024,7,46093,4623,14.1,83.7,10,0,0,0.2,1.7,6562,38874,10,10,102,796
E14000581,BOOTLE,50862,50744,99.1,91.6,91.6,50.4,73.6,0,0.1,0.2,0.7,0,99.3,50395,46571,46571,4,26,92,349,25647,37449,11,50528,0,7.5,91.6,0,0,0,0.1,0.5,3824,46571,4,22,66,257
E14000582,BOSTON AND SKEGNESS,54452,54027,90.6,52.6,50.8,49.3,49.3,0.8,2.5,3.7,8.6,0.7,97.2,49346,28642,27679,449,1379,2034,4681,26841,26841,400,52909,14982,39.8,50.8,27.5,0.8,1.7,1.2,4.9,21667,27679,449,930,655,2647
E14000583,BOSWORTH,52358,51878,97.2,66.5,63.9,18,61.2,0.1,0.2,0.4,1.9,0.2,98.8,50892,34833,33453,29,127,229,986,9401,32022,88,51741,0,33.3,63.9,0,0.1,0.2,0.2,1.4,17439,33453,29,98,102,757
E14000584,BOURNEMOUTH EAST,51990,51879,98.5,93.7,90.9,69,89.9,0.6,0.6,0.6,1.3,0,99.5,51215,48689,47268,298,299,311,664,35886,46741,1,51710,5,7.6,90.9,0,0.6,0,0,0.7,3947,47268,298,1,12,353
E14000585,BOURNEMOUTH WEST,53453,53176,99,86.8,84.3,53.7,80.8,0,0,0.1,0.5,0,99.2,52919,46413,45078,0,6,31,257,28721,43204,8,53032,193,14.7,84.3,0.4,0,0,0,0.4,7841,45078,0,6,25,226
E14000586,BRACKNELL,50263,50061,96.7,83.6,82,50.7,80.6,0,0,0.1,2.9,0,97.5,48589,42015,41233,1,18,66,1472,25496,40526,4,48982,546,14.6,82,1.1,0,0,0.1,2.8,7356,41233,1,17,48,1406
E14000587,BRADFORD EAST,46146,46061,99.1,92.5,92.3,33.1,91.8,0,0.1,0.3,0.7,0,99.2,45732,42667,42588,1,64,118,329,15274,42381,1,45798,24590,6.8,92.3,53.3,0,0.1,0.1,0.5,3144,42588,1,63,54,211
E14000588,BRADFORD SOUTH,45328,45286,98.1,88.1,86.8,20.2,84.2,0,0.1,0.3,1.8,0,99.1,44482,39936,39346,3,60,122,804,9137,38175,0,44902,9303,11.3,86.8,20.5,0,0.1,0.1,1.5,5136,39346,3,57,62,682
E14000589,BRADFORD WEST,42431,41835,94.8,88.1,87.2,29.2,86.1,0,0.1,0.3,3.8,0,95.2,40209,37367,37004,3,40,116,1626,12378,36551,0,40404,25128,7.6,87.2,59.2,0,0.1,0.2,3.6,3205,37004,3,37,76,1510
E14000590,BRAINTREE,48236,47987,97.1,59.5,59.5,59.4,59.5,0.2,0.4,0.9,2.4,0.1,98.6,46825,28696,28696,110,215,416,1162,28669,28696,51,47542,13444,37.6,59.5,27.9,0.2,0.2,0.4,1.5,18129,28696,110,105,201,746
E14000591,BRENT CENTRAL,70296,68219,94.4,75.5,72.6,58.3,70.6,0,0.1,0.5,2.6,0,94.5,66376,53094,51018,0,74,339,1843,40961,49623,22,66463,0,21.8,72.6,0,0,0.1,0.4,2.1,15358,51018,0,74,265,1504
E14000592,BRENT NORTH,50102,49624,97.1,87.2,86.2,52,85,0,0,0.2,2,0,97.1,48637,43698,43210,0,18,98,987,26051,42578,11,48652,0,10.8,86.2,0,0,0,0.2,1.8,5427,43210,0,18,80,889
E14000593,BRENTFORD AND ISLEWORTH,57804,57566,96.6,86.5,86.4,24.4,86.3,0,0.1,0.3,3,0,96.7,55860,50021,49967,0,31,185,1706,14128,49891,13,55920,0,10.2,86.4,0,0,0.1,0.3,2.6,5893,49967,0,31,154,1521
E14000594,BRENTWOOD AND ONGAR,46145,45976,95.3,59.7,59.7,54.5,59.7,0.1,0.2,0.7,4.3,0.1,97.2,43980,27543,27543,64,111,301,1996,25154,27541,64,44845,1829,35.6,59.7,4,0.1,0.1,0.4,3.7,16437,27543,64,47,190,1695
E14000595,BRIDGWATER AND WEST SOMERSET,58238,57986,91.3,44.6,41.8,40.3,40.3,0.7,1.7,3.2,8.3,0.7,97.3,53155,25977,24348,380,993,1869,4831,23485,23485,414,56677,4252,49.5,41.8,7.3,0.7,1.1,1.5,5.1,28807,24348,380,613,876,2962
E14000596,BRIGG AND GOOLE,42187,42010,93.5,51.2,51.2,49.5,51.2,0.7,1.3,1.7,6.1,0.4,97.3,39448,21620,21620,293,548,715,2562,20896,21617,162,41035,22422,42.3,51.2,53.1,0.7,0.6,0.4,4.4,17828,21620,293,255,167,1847
E14000597,"BRIGHTON, KEMPTOWN",46305,45996,97.4,78,78,35.5,77.3,0,0,0.1,1.9,0,98.1,45096,36104,36104,17,17,34,900,16442,35809,11,45424,0,19.4,78,0,0,0,0,1.9,8992,36104,17,0,17,866
E14000598,"BRIGHTON, PAVILION",54563,53393,95,86,84.5,33.2,81.3,0,0.2,1.2,2.9,0,95.2,51834,46946,46091,4,95,648,1559,18088,44381,7,51938,0,10.5,84.5,0,0,0.2,1,1.7,5743,46091,4,91,553,911
E14000599,BRISTOL EAST,47055,46940,97.7,92.3,92.2,53.9,90.4,0,0.1,0.6,2.1,0,97.8,45952,43421,43408,3,59,302,988,25385,42535,3,46001,0,5.4,92.2,0,0,0.1,0.5,1.5,2544,43408,3,56,243,686
E14000600,BRISTOL NORTH WEST,46149,46017,97.6,91,90.6,30.9,90,0,0.2,0.6,2.1,0.1,98.1,45050,41994,41810,8,77,294,967,14240,41540,48,45284,0,7,90.6,0,0,0.1,0.5,1.5,3240,41810,8,69,217,673
E14000601,BRISTOL SOUTH,53518,53407,97.8,95.5,95.5,82.2,95.2,0,0,1.1,2,0,97.8,52332,51122,51122,7,16,592,1075,44004,50963,2,52341,0,2.3,95.5,0,0,0,1.1,0.9,1210,51122,7,9,576,483
E14000602,BRISTOL WEST,67264,66701,92.5,87.7,87.7,63.9,85.6,0,0,0.5,6.6,0,92.5,62238,59014,59013,0,4,317,4463,42976,57554,9,62244,0,4.8,87.7,0,0,0,0.5,6.2,3225,59013,0,4,313,4146
E14000603,BROADLAND,48897,48718,92.8,24.3,22.9,20.5,22.1,0.3,0.8,2,6.8,1.3,98.4,45394,11892,11180,164,402,958,3324,10004,10821,652,48117,121,70,22.9,0.2,0.3,0.5,1.1,4.8,34214,11180,164,238,556,2366
E14000604,BROMLEY AND CHISLEHURST,42517,42485,98.3,90,90,42,88.8,0,0.1,0.1,1.7,0,98.8,41779,38286,38255,0,22,31,706,17866,37759,0,42002,0,8.3,90,0,0,0.1,0,1.6,3524,38255,0,22,9,675
E14000605,BROMSGROVE,45371,44981,97.2,76.6,76.6,56.6,76.4,0,0.2,0.4,2,0.2,98.8,44096,34749,34749,18,88,169,885,25671,34669,96,44828,41,20.6,76.6,0.1,0,0.2,0.2,1.6,9347,34749,18,70,81,716
E14000606,BROXBOURNE,45747,45688,98.4,88.4,85.9,7.5,81.2,0.1,0.1,0.2,1.4,0,99.3,45028,40463,39291,28,41,90,660,3421,37157,7,45409,0,12.5,85.9,0,0.1,0,0.1,1.2,5737,39291,28,13,49,570
E14000607,BROXTOWE,45345,45298,99.2,94.2,93.7,59.8,93.2,0,0.1,0.1,0.7,0,99.6,44965,42716,42493,11,31,66,333,27133,42271,3,45172,0,5.5,93.7,0,0,0,0.1,0.6,2472,42493,11,20,35,267
E14000608,BUCKINGHAM,51051,50776,92.8,60.6,58.2,56.4,56.4,0.4,1.3,2.6,6.7,0.5,96,47357,30927,29692,217,675,1316,3419,28803,28810,243,48999,326,34.6,58.2,0.6,0.4,0.9,1.3,4.1,17665,29692,217,458,641,2103
E14000609,BURNLEY,45852,45723,97.9,80.6,80.6,12.1,80.6,0,0.1,0.3,1.8,0,99.3,44898,36945,36945,21,52,124,825,5532,36934,14,45509,28000,17.3,80.6,61.1,0,0.1,0.2,1.5,7953,36945,21,31,72,701
E14000610,BURTON,51378,51119,96.2,48.7,45.1,40.7,42.4,0.3,0.6,0.8,3.3,0.1,99.1,49414,25014,23176,135,287,432,1705,20898,21808,57,50900,0,51.1,45.1,0,0.3,0.3,0.3,2.5,26238,23176,135,152,145,1273
E14000611,BURY NORTH,43817,43704,98.4,73.3,67,56.3,60.3,0,0.2,0.2,1.3,0,99.7,43118,32114,29351,10,79,100,586,24684,26434,9,43682,0,31.4,67,0,0,0.2,0,1.1,13767,29351,10,69,21,486
E14000612,BURY SOUTH,46323,46144,98.8,90.9,90.4,80.7,88.7,0,0,0.1,0.8,0,99.5,45784,42123,41875,0,6,33,360,37400,41077,0,46096,0,8.4,90.4,0,0,0,0.1,0.7,3909,41875,0,6,27,327
E14000613,BURY ST EDMUNDS,58492,58312,96.4,59.1,58,57.1,57.1,0.2,0.3,0.6,3.3,0.2,99.2,56376,34544,33911,90,180,323,1936,33383,33384,132,58039,0,38.4,58,0,0.2,0.2,0.2,2.8,22465,33911,90,90,143,1613
E14000614,CALDER VALLEY,52598,52490,92.8,34.6,34.5,10.2,34.4,0.2,0.6,1,7,0.1,98.4,48820,18180,18144,126,311,523,3670,5353,18089,43,51751,17119,58.3,34.5,32.5,0.2,0.4,0.4,6,30676,18144,126,185,212,3147
E14000615,CAMBERWELL AND PECKHAM,58357,57870,96.2,84.4,84.1,58.6,79.9,0,0,0.4,3,0,96.2,56131,49232,49104,0,27,207,1739,34195,46630,3,56134,0,12,84.1,0,0,0,0.3,2.6,7027,49104,0,27,180,1532
E14000616,CAMBORNE AND REDRUTH,47194,46891,88.5,39.5,39.5,39.5,39.5,0.2,0.8,2.2,10.8,0.2,93.5,41778,18658,18658,86,390,1045,5113,18657,18657,97,44107,12148,49,39.5,25.7,0.2,0.6,1.4,8.6,23120,18658,86,304,655,4068
E14000617,CAMBRIDGE,56426,56260,98.8,93.4,92,61.4,90.3,0,0,0.2,0.9,0,98.8,55737,52681,51938,1,23,85,523,34667,50929,2,55772,0,6.7,92,0,0,0,0.1,0.8,3799,51938,1,22,62,438
E14000618,CANNOCK CHASE,48834,48592,98.3,81.1,81,60.7,80.9,0,0.1,0.2,1.2,0.1,99.3,48016,39617,39576,17,42,106,576,29660,39509,36,48511,0,17.3,81,0,0,0.1,0.1,1,8440,39576,17,25,64,470
E14000619,CANTERBURY,53641,51456,90.7,30.2,30.2,30.2,30.2,0.2,0.6,1.2,5.3,0.2,95.6,48633,16223,16222,130,341,638,2823,16223,16223,119,51271,8946,60.4,30.2,16.7,0.2,0.4,0.6,4.1,32411,16222,130,211,297,2185
E14000620,CARLISLE,46611,46469,97.6,63.8,57.5,8.9,53.4,0.2,0.5,0.9,2.1,0.1,98.8,45473,29761,26789,83,226,432,996,4151,24891,46,46068,435,40.1,57.5,0.9,0.2,0.3,0.4,1.2,18684,26789,83,143,206,564
E14000621,CARSHALTON AND WALLINGTON,42924,42882,98.4,87,87,29.9,85.4,0,0,0.4,1.5,0,98.8,42258,37351,37335,11,16,154,624,12854,36648,0,42426,0,11.5,87,0,0,0,0.3,1.1,4923,37335,11,5,138,470
E14000622,CASTLE POINT,41449,40990,98,44.3,44.3,3.6,41,0,0.1,0.2,0.9,0.3,98.5,40627,18369,18369,11,57,76,363,1509,17014,139,40841,0,53.7,44.3,0,0,0.1,0,0.7,22258,18369,11,46,19,287
E14000623,CENTRAL DEVON,46316,45936,79.1,31.3,29.1,30.9,31.3,1.4,4.5,9,20.1,1.7,92.9,36622,14502,13475,644,2095,4188,9314,14328,14499,778,43038,23171,50,29.1,50,1.4,3.1,4.5,11.1,23147,13475,644,1451,2093,5126
E14000624,CENTRAL SUFFOLK AND NORTH IPSWICH,47886,47709,94.1,52.8,52,49.4,51.5,0.3,0.7,1.5,5.6,0.5,98.5,45050,25272,24921,121,312,707,2659,23663,24645,246,47180,163,42,52,0.3,0.3,0.4,0.8,4.1,20129,24921,121,191,395,1952
E14000625,CHARNWOOD,46278,46225,98.5,80.6,79.8,27.3,79,0,0.1,0.4,1.3,0.1,99.6,45602,37295,36935,17,63,166,623,12636,36551,45,46093,0,18.7,79.8,0,0,0.1,0.2,1,8667,36935,17,46,103,457
