parl_const,parliamentary_constituency_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises able to receive decent broadband from FWA,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
E14000530,ALDERSHOT,48200,48105,97.7,84.7,84.7,27.5,84.5,0,0.8,1.5,2.1,0.1,98,47111,40816,40816,18,365,703,994,13233,40726,36,47243,0,13.1,84.7,0,0,0.7,0.7,0.6,6295,40816,18,347,338,291
E14000531,ALDRIDGE-BROWNHILLS,34230,34201,98,84,81,21.1,79.3,0,0,0.7,1.9,0.1,98.7,33552,28744,27732,2,3,244,649,7239,27134,35,33769,0,17,81,0,0,0,0.7,1.2,5820,27732,2,1,241,405
E14000532,ALTRINCHAM AND SALE WEST,45285,45217,97.2,76.2,70.6,13.1,66,0.1,0.4,0.4,2.7,0,99.1,44006,34523,31966,35,173,190,1211,5933,29899,1,44874,261,26.6,70.6,0.6,0.1,0.3,0,2.3,12040,31966,35,138,17,1021
E14000533,AMBER VALLEY,44676,44483,96.4,52.4,52,51.8,51.9,0,0.1,0.3,3.2,0.2,99.4,43074,23391,23240,13,45,135,1409,23131,23205,69,44389,0,44.4,52,0,0,0.1,0.2,2.9,19834,23240,13,32,90,1274
E14000534,ARUNDEL AND SOUTH DOWNS,49878,49653,92,34.1,33,32.3,32.3,0.4,1,2,7.6,0.8,99.1,45885,17017,16465,198,486,999,3768,16090,16090,407,49406,0,59,33,0,0.4,0.6,1,5.6,29420,16465,198,288,513,2769
E14000535,ASHFIELD,50160,50044,98,88.1,88.1,8.3,85.9,0,0.4,0.5,1.8,0,98.9,49153,44183,44183,12,194,265,891,4162,43071,20,49592,1,9.9,88.1,0,0,0.4,0.1,1.2,4970,44183,12,182,71,626
E14000536,ASHFORD,57865,57673,93,67.7,65.8,41.7,64.7,0.2,0.9,2,6.7,0.3,98.6,53816,39201,38089,139,530,1184,3857,24147,37463,195,57028,19998,27.2,65.8,34.6,0.2,0.7,1.1,4.6,15727,38089,139,391,654,2673
E14000537,ASHTON-UNDER-LYNE,48213,48091,98.8,82.3,81.5,43,80.8,0,0,0.1,1,0,99.3,47620,39667,39309,0,7,55,471,20710,38946,11,47892,0,17.2,81.5,0,0,0,0.1,0.9,8311,39309,0,7,48,416
E14000538,AYLESBURY,54730,54604,97.5,72.6,67.5,19,63.1,0,0.1,0.3,2.3,0.1,99.1,53372,39748,36936,20,82,177,1232,10388,34512,41,54239,0,30,67.5,0,0,0.1,0.2,1.9,16436,36936,20,62,95,1055
E14000539,BANBURY,62038,61736,96.9,62.1,56.3,39,51.9,0.3,0.6,1,2.6,0.1,98.3,60107,38526,34928,199,387,601,1629,24185,32219,80,60975,482,40.6,56.3,0.8,0.3,0.3,0.3,1.7,25179,34928,199,188,214,1028
E14000540,BARKING,54320,53973,97.8,89.1,89.1,54.8,86.8,0,0.6,0.8,1.6,0.5,97.8,53112,48414,48414,14,310,423,861,29794,47158,297,53122,0,8.6,89.1,0,0,0.5,0.2,0.8,4698,48414,14,296,113,438
E14000541,BARNSLEY CENTRAL,45606,45502,98.9,88,87,22,22,0,0,0.2,0.8,0,99.3,45120,40121,39688,0,14,81,382,10037,10041,1,45288,14772,11.9,87,32.4,0,0,0.1,0.7,5432,39688,0,14,67,301
E14000542,BARNSLEY EAST,44913,44863,98.8,82.8,80.3,43.2,47.2,0,0.1,0.2,1.1,0,99.3,44355,37180,36047,14,50,111,508,19382,21212,1,44616,7782,18.5,80.3,17.3,0,0.1,0.1,0.9,8308,36047,14,36,61,397
E14000543,BARROW AND FURNESS,46648,46551,97.4,40.6,40.6,40.6,40.6,0.2,0.5,0.7,2.4,0.3,99.6,45425,18916,18916,100,213,311,1126,18916,18916,127,46468,1268,56.8,40.6,2.7,0.2,0.2,0.2,1.7,26509,18916,100,113,98,815
E14000544,BASILDON AND BILLERICAY,44029,43931,97.9,85.1,84.7,55.9,76.4,0,0.3,0.7,1.9,0,99,43089,37462,37305,15,118,288,842,24633,33652,20,43607,0,13.1,84.7,0,0,0.2,0.4,1.3,5784,37305,15,103,170,554
E14000545,BASINGSTOKE,53570,53524,98.7,84.1,84.1,51.1,83.9,0,0.2,0.4,1.2,0,99.3,52883,45055,45055,1,99,220,641,27400,44941,12,53172,0,14.6,84.1,0,0,0.2,0.2,0.8,7828,45055,1,98,121,421
E14000546,BASSETLAW,54043,53718,96.2,41.4,39.5,14.9,38,0.3,0.6,1,3.2,0.2,98.9,51985,22398,21352,176,310,558,1733,8075,20554,103,53435,10854,56.7,39.5,20.1,0.3,0.2,0.5,2.2,30633,21352,176,134,248,1175
E14000547,BATH,45768,45573,95.3,69.9,62.4,28,56,0,0,0.1,4.3,0,96.3,43612,31979,28578,0,0,27,1961,12834,25611,2,44081,0,32.8,62.4,0,0,0,0.1,4.2,15034,28578,0,0,27,1934
E14000548,BATLEY AND SPEN,50220,50077,98.2,84.8,84.8,48.9,84.8,0,0.1,0.1,1.5,0,99.3,49302,42604,42604,0,37,64,775,24571,42582,7,49875,1051,13.3,84.8,2.1,0,0.1,0.1,1.4,6698,42604,0,37,27,711
E14000549,BATTERSEA,64877,64049,96.1,93,89.6,49.5,79.5,0,0,0.4,2.7,0.3,96.1,62315,60304,58161,0,0,280,1734,32103,51565,173,62338,0,6.4,89.6,0,0,0,0.4,2.2,4154,58161,0,0,280,1454
E14000550,BEACONSFIELD,47152,46981,95.3,74.7,73.1,59.1,71.9,0,0.2,1.1,4.3,0.1,98.4,44936,35240,34471,16,111,515,2045,27880,33910,62,46383,0,22.2,73.1,0,0,0.2,0.9,3.2,10465,34471,16,95,404,1530
E14000551,BECKENHAM,41096,41056,99.2,88.7,88,18.7,85.9,0,0,0.1,0.7,0,99.5,40751,36454,36185,2,6,31,305,7665,35298,0,40893,0,11.1,88,0,0,0,0.1,0.7,4566,36185,2,4,25,274
E14000552,BEDFORD,50587,50509,98.7,92.8,91.2,32.2,87.8,0,0.1,0.2,1.2,0,98.8,49912,46963,46113,4,50,123,597,16265,44430,1,50003,0,7.5,91.2,0,0,0.1,0.1,0.9,3799,46113,4,46,73,474
E14000553,BERMONDSEY AND OLD SOUTHWARK,77048,76431,91.8,78.5,78.5,65.9,77.7,0,0,0,7.4,0,91.8,70711,60520,60515,2,8,34,5720,50756,59843,9,70728,20,13.2,78.5,0,0,0,0,7.4,10196,60515,2,6,26,5686
E14000554,BERWICK-UPON-TWEED,40414,40263,90.8,17.4,17.4,17.4,17.4,1,2.4,4.1,8.9,1.4,97.3,36676,7040,7040,421,964,1639,3587,7037,7038,558,39338,3397,73.3,17.4,8.4,1,1.3,1.7,4.8,29636,7040,421,543,675,1948
E14000555,BETHNAL GREEN AND BOW,67441,67164,93,75.8,71.5,51.6,66.4,0,0,0.3,6.6,0,93,62722,51118,48242,0,0,226,4442,34773,44811,10,62727,0,21.5,71.5,0,0,0,0.3,6.3,14480,48242,0,0,226,4216
E14000556,BEVERLEY AND HOLDERNESS,49610,49289,96.7,76.2,76.2,76.2,76.2,0.3,0.6,1,2.6,0.2,98.4,47995,37825,37825,130,310,515,1294,37825,37825,106,48794,11610,20.5,76.2,23.4,0.3,0.4,0.4,1.6,10170,37825,130,180,205,779
E14000557,BEXHILL AND BATTLE,53381,53130,95.8,49.5,49.5,49.5,49.5,0,0.2,0.7,3.7,0.2,99.2,51150,26432,26432,26,128,381,1980,26432,26432,121,52948,0,46.3,49.5,0,0,0.2,0.5,3,24718,26432,26,102,253,1599
E14000558,BEXLEYHEATH AND CRAYFORD,39694,39633,97.9,91.8,91.8,65.4,90.4,0,0.1,0.7,1.9,0,98.1,38866,36438,36437,0,24,260,767,25957,35882,2,38925,0,6.1,91.8,0,0,0.1,0.6,1.3,2429,36437,0,24,236,507
E14000559,BIRKENHEAD,47156,47082,99.5,93.7,93.7,81.4,93.2,0,0,0,0.3,0,99.7,46919,44173,44173,0,0,5,163,38369,43959,1,47027,0,5.8,93.7,0,0,0,0,0.3,2746,44173,0,0,5,158
E14000560,"BIRMINGHAM, EDGBASTON",44930,43821,94.6,89.6,89.5,46.1,89.2,0,0.2,0.6,3,0,94.7,42491,40279,40197,15,84,265,1330,20704,40093,2,42547,0,5.1,89.5,0,0,0.2,0.4,2.4,2294,40197,15,69,181,1065
E14000561,"BIRMINGHAM, ERDINGTON",45691,45655,96.2,91.9,90.4,17.6,87.7,0,0.6,2.3,3.7,0,96.2,43948,42002,41307,1,296,1052,1707,8059,40085,1,43953,1,5.8,90.4,0,0,0.6,1.7,1.4,2641,41307,1,295,756,655
