Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,Population,Total,###,"  11,094,850 ","  11,161,642 ","  11,203,992 ","  11,258,434 ","  11,311,117 ","  11,351,727 ","  11,398,589 ","  11,455,519 ","  11,486,362 ","  11,554,767 ","  11,617,623 "
Belgium,Households,Total,###,"  4,622,858 ","  4,831,880 ","  4,850,213 ","  4,873,781 ","  4,896,587 ","  4,914,168 ","  4,899,404 ","  4,751,936 ","  4,989,764 ","  5,022,036 ","  4,818,475 "
Belgium,Broadband coverage (>2Mbps),Total,Households,"  4,618,235 ","  4,823,429 ","  4,841,731 ","  4,865,349 ","  4,889,770 ","  4,909,253 ","  4,895,375 ","  4,745,762 ",#N/A,#N/A,#N/A
Belgium,Broadband coverage (>30Mbps),Total,Households,"  4,396,338 ","  4,624,109 ","  4,665,905 ","  4,724,600 ","  4,750,179 ","  4,830,675 ","  4,814,741 ","  4,679,288 ","  4,943,229 ","  4,911,620 ","  4,712,535 "
Belgium,Broadband coverage (>100Mbps),Total,Households,"  4,248,407 ","  4,474,321 ","  4,515,548 ","  4,578,339 ","  4,612,585 ","  4,691,596 ","  4,725,525 ","  4,584,617 ","  4,852,195 ","  4,865,517 ","  4,668,300 "
Belgium,Broadband coverage (>1Gbps),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  2,410,953 ","  2,345,267 ","  3,442,937 ","  3,916,593 ","  4,612,845 "
Belgium,Broadband coverage (>1Gbps upload and download),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  449,079 ","  732,184 ","  1,204,619 "
Belgium,Fixed broadband coverage,Total,Households,"  4,619,709 ","  4,828,256 ","  4,846,575 ","  4,870,217 ","  4,892,915 ","  4,910,482 ","  4,898,187 ","  4,748,968 ","  4,972,479 ","  5,021,003 ","  4,817,458 "
Belgium,NGA coverage,Total,Households,"  4,545,847 ","  4,775,877 ","  4,797,253 ","  4,797,845 ","  4,815,090 ","  4,852,577 ","  4,854,634 ","  4,718,496 ","  4,943,229 ","  4,989,664 ","  4,798,262 "
Belgium,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  3,257,245 ","  3,208,325 ","  3,438,772 ","  3,931,268 ","  4,623,504 "
Belgium,VHCN coverage (as defined by BEREC),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,DSL,Total,Households,"  4,615,924 ","  4,824,632 ","  4,842,938 ","  4,866,653 ","  4,889,243 ","  4,906,796 ","  4,892,054 ","  4,744,809 ","  4,982,182 ","  5,014,515 ","  4,811,317 "
Belgium,VDSL,Total,Households,"  4,091,229 ","  4,348,692 ","  4,384,593 ","  4,508,247 ","  4,602,792 ","  4,640,795 ","  4,680,890 ","  4,598,923 ","  4,829,369 ","  4,866,016 ","  4,649,828 "
Belgium,VDSL 2 Vectoring,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  2,564,354 ","  2,596,640 ","  2,572,474 ","  2,403,403 ","  2,110,884 "
