parl_const,parliamentary_constituency_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
E14000976,STOURBRIDGE,39755,39747,99.4,95.9,95.5,49.6,95.2,0,0,0,0.5,0,100,0.4,39530,38116,37956,0,2,3,217,19736,37860,0,39744,167,4,95.5,0,0,0,0.5,1574,37956,0,2,1,214
N06000016,STRANGFORD,41604,41558,98.9,93.8,93.8,93.8,93.8,0.1,0.2,0.3,1,0.1,99.9,0,41149,39019,39019,31,80,119,409,39017,39019,27,41557,0,5.1,93.8,0.1,0.1,0.1,0.7,2130,39019,31,49,39,290
E14000977,STRATFORD-ON-AVON,46651,46608,98.2,76.5,75.4,63.2,74.4,0.1,0.4,0.6,1.7,0.1,99.5,0.2,45815,35700,35178,66,178,288,793,29500,34691,43,46430,74,22.8,75.4,0.1,0.2,0.2,1.1,10637,35178,66,112,110,505
E14000978,STREATHAM,52224,52185,98.8,91.4,88.5,78.4,85.5,0,0,0,1.1,0,99,0,51612,47711,46197,0,0,2,573,40923,44648,1,51678,0,10.4,88.5,0,0,0,1.1,5415,46197,0,0,2,571
E14000979,STRETFORD AND URMSTON,46180,46034,99.2,91.5,91,66.8,90.8,0,0,0,0.5,0,99.4,0,45811,42239,42030,2,2,5,223,30860,41954,0,45893,10,8.2,91,0,0,0,0.5,3781,42030,2,0,3,218
E14000980,STROUD,49494,49477,96.5,46.9,46.9,45.8,46.9,0,0.2,0.6,3.4,0,97.8,1,47771,23232,23232,24,88,298,1706,22691,23232,16,48427,491,49.6,46.9,0,0.1,0.4,2.8,24539,23232,24,64,210,1408
E14000981,SUFFOLK COASTAL,53111,53021,97.1,46.2,46.2,34.3,46.2,0.1,0.3,0.7,2.7,0.2,99.3,3.3,51569,24516,24515,57,179,364,1452,18214,24515,127,52753,1734,50.9,46.2,0.1,0.2,0.3,2,27054,24515,57,122,185,1088
E14000982,SUNDERLAND CENTRAL,48184,48152,99.1,90.1,89.3,56.9,89.1,0,0,0,0.9,0,99.1,0,47731,43400,43029,5,10,10,421,27399,42922,0,47753,0,9.8,89.3,0,0,0,0.9,4702,43029,5,5,0,411
E14000983,SURREY HEATH,47120,47110,99,86.1,85.8,55.1,85.7,0,0,0,1,0,100,0,46644,40590,40447,0,6,8,466,25972,40399,0,47110,1,13.2,85.8,0,0,0,1,6197,40447,0,6,2,458
E14000984,SUTTON AND CHEAM,43307,43298,98.9,92.6,91.6,69.7,90.6,0,0,0,1.1,0,98.9,0,42836,40097,39682,0,0,0,462,30185,39249,0,42848,0,7.3,91.6,0,0,0,1.1,3154,39682,0,0,0,462
E14000985,SUTTON COLDFIELD,41943,41941,99.1,90.8,90.3,46.7,90.1,0,0.1,0.3,0.9,0,99.1,0,41545,38074,37881,5,53,116,396,19569,37796,7,41580,0,8.7,90.3,0,0.1,0.2,0.7,3664,37881,5,48,63,280
W07000048,SWANSEA EAST,38227,38224,99.6,95.4,95.1,69.6,95,0,0,0.1,0.4,0,99.8,65.9,38083,36486,36356,1,12,24,141,26599,36328,0,38169,25195,4.5,95.1,0,0,0,0.3,1727,36356,1,11,12,117
W07000047,SWANSEA WEST,37223,37213,99.7,95,94,61.5,92.9,0,0,0,0.2,0,99.9,46.9,37125,35344,34981,0,0,7,88,22885,34591,0,37175,17457,5.8,94,0,0,0,0.2,2144,34981,0,0,7,81
E14000986,TAMWORTH,42764,42761,98.2,83.1,80.9,22.2,79.6,0.1,0.3,0.6,1.8,0,99.9,0,42010,35551,34592,64,114,238,751,9484,34044,9,42704,0,17.3,80.9,0.1,0.1,0.3,1.2,7418,34592,64,50,124,513
E14000987,TATTON,40589,40565,94.6,69.8,67.1,41.8,65.5,0.2,0.5,1,5.3,0.1,99.1,0,38415,28311,27226,81,211,392,2150,16968,26597,52,40208,13,27.6,67.1,0.2,0.3,0.4,4.3,11189,27226,81,130,181,1758
