parl_const,parliamentary_constituency_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
E14000988,TAUNTON DEANE,56578,56519,93.9,72.4,69.8,68.4,68.4,0.4,1.4,2.2,6,0.5,97.6,0,53130,40985,39482,221,807,1269,3389,38706,38706,275,55221,11,24.1,69.8,0.4,1,0.8,3.7,13648,39482,221,586,462,2120
E14000989,TELFORD,45420,45402,99.4,88.7,87.1,17.8,84.1,0,0,0.1,0.6,0,99.7,40.1,45130,40269,39547,0,6,63,272,8090,38189,5,45295,18232,12.3,87.1,0,0,0.1,0.5,5583,39547,0,6,57,209
E14000990,TEWKESBURY,52623,52565,96.2,86.3,85.9,53,85.7,0.1,0.4,1.2,3.7,0.1,97,0,50634,45419,45216,43,234,610,1931,27906,45102,60,51046,0,10.3,85.9,0.1,0.4,0.7,2.5,5418,45216,43,191,376,1321
E14000991,THE COTSWOLDS,50026,49986,96.5,58,57.9,57.7,57.8,0.1,0.3,0.6,3.4,0.1,97.9,0,48288,29014,28944,61,146,308,1698,28889,28891,74,48988,20,38.7,57.9,0.1,0.2,0.3,2.8,19344,28944,61,85,162,1390
E14000992,THE WREKIN,44176,44161,97.3,81.7,79.6,18.8,78,0.2,0.4,0.8,2.7,0,99.6,34.5,42978,36087,35159,77,198,368,1183,8300,34449,21,43980,15241,17.7,79.6,0.2,0.3,0.4,1.8,7819,35159,77,121,170,815
E14000993,THIRSK AND MALTON,50975,50770,91.6,55.4,55.4,55.4,55.4,1.4,2.9,4.1,8,1.2,97.7,43.6,46716,28250,28250,699,1463,2087,4054,28249,28250,634,49786,22224,36.2,55.4,1.4,1.5,1.2,3.9,18466,28250,699,764,624,1967
E14000994,THORNBURY AND YATE,41173,41143,98.4,78.6,78.5,49.1,78.5,0.1,0.3,0.5,1.6,0.2,99.7,0,40496,32359,32330,39,134,217,647,20225,32324,72,41066,0,19.8,78.5,0.1,0.2,0.2,1,8166,32330,39,95,83,430
E14000995,THURROCK,51714,51686,99,93.5,92.7,76,92.1,0,0.1,0.5,0.9,0,99.2,0,51221,48365,47942,6,42,243,465,39306,47654,0,51294,0,6.3,92.7,0,0.1,0.4,0.4,3279,47942,6,36,201,222
E14000996,TIVERTON AND HONITON,48598,48549,88.8,57,57,57,57,0.7,2.4,4.4,11.1,0.8,96.3,0.4,43155,27700,27700,354,1153,2147,5394,27700,27700,383,46810,176,31.8,57,0.7,1.6,2,6.7,15455,27700,354,799,994,3247
E14000997,TONBRIDGE AND MALLING,45194,45168,95.3,77.3,77,64.1,76.9,0.2,0.7,1.1,4.7,0.3,98.9,3.6,43056,34922,34814,107,297,490,2112,28954,34732,136,44698,1641,18.2,77,0.2,0.4,0.4,3.6,8242,34814,107,190,193,1622
E14000998,TOOTING,46659,46181,98.6,93.3,91.9,85,90.3,0,0,0,0.4,0,98.6,0,46011,43514,42863,0,0,0,170,39671,42124,0,46012,0,6.7,91.9,0,0,0,0.4,3148,42863,0,0,0,170
E14000999,TORBAY,54208,54129,98.2,92,90.3,79.9,88.5,0,0,0.1,1.7,0,98.6,0,53226,49856,48942,0,0,29,903,43309,47986,2,53466,0,7.9,90.3,0,0,0.1,1.6,4284,48942,0,0,29,874
W07000053,TORFAEN,38650,38605,98.7,68.6,64.8,36.2,62.2,0.1,0.1,0.2,1.1,0,99.5,63.8,38162,26512,25042,37,54,85,443,13992,24051,2,38467,24642,33.9,64.8,0.1,0,0.1,0.9,13120,25042,37,17,31,358
E14001000,TORRIDGE AND WEST DEVON,48135,48045,85.1,51.6,51.6,51.6,51.6,1.6,4.8,8.3,14.7,1,95.5,52.8,40952,24836,24836,772,2297,4017,7093,24836,24836,492,45965,25419,33.5,51.6,1.6,3.2,3.6,6.4,16116,24836,772,1525,1720,3076
E14001001,TOTNES,45711,45616,90.9,55,54.8,54.3,54.8,0.4,1.2,2.3,8.9,0.5,97.9,11.3,41557,25142,25052,188,555,1047,4059,24836,25028,208,44750,5181,36.1,54.8,0.4,0.8,1.1,6.6,16505,25052,188,367,492,3012
E14001002,TOTTENHAM,53889,53804,99.3,93.2,92.8,56.1,92.2,0,0,0.2,0.6,0,99.3,0,53498,50225,50010,0,8,112,306,30220,49705,0,53499,0,6.5,92.8,0,0,0.2,0.4,3488,50010,0,8,104,194
E14001003,TRURO AND FALMOUTH,46302,46188,91.1,57.3,57.2,57,57,0.1,0.3,1.1,8.6,0.3,94.7,6.8,42200,26554,26464,45,159,511,3988,26370,26370,151,43836,3143,34,57.2,0.1,0.2,0.8,7.5,15736,26464,45,114,352,3477
E14001004,TUNBRIDGE WELLS,47468,47427,96.8,79.9,78.4,68,76.3,0.1,0.3,0.6,3.1,0.1,99.5,0,45958,37913,37236,32,142,299,1469,32296,36196,65,47226,6,18.4,78.4,0.1,0.2,0.3,2.5,8722,37236,32,110,157,1170
E14001005,TWICKENHAM,49727,49617,99.1,92.4,91.8,58.2,91.5,0,0,0.1,0.6,0,99.2,0,49302,45937,45670,0,0,48,315,28930,45478,0,49321,0,7.3,91.8,0,0,0.1,0.5,3632,45670,0,0,48,267
E14001006,TYNEMOUTH,47203,47176,99.6,93.6,92,50.8,90.3,0,0,0.1,0.3,0,99.7,0,47013,44204,43409,2,10,32,163,23984,42631,0,47049,0,7.6,92,0,0,0,0.3,3604,43409,2,8,22,131
N06000017,UPPER BANN,53763,53732,99.4,95.7,95.7,95.7,95.7,0,0.1,0.1,0.5,0,99.9,0,53449,51478,51478,20,42,59,283,51478,51478,23,53716,0,3.7,95.7,0,0,0,0.4,1971,51478,20,22,17,224
E14001007,UXBRIDGE AND SOUTH RUISLIP,43701,43570,98.2,91.5,91.4,70.2,91.3,0,0,0.3,1.5,0,98.2,0,42894,39992,39934,0,11,135,676,30682,39909,0,42913,1,6.8,91.4,0,0,0.3,1.2,2960,39934,0,11,124,541
W07000060,VALE OF CLWYD,36038,35991,97.1,78.8,78.8,78.8,78.8,0.1,0.4,0.8,2.8,0,98.2,38.6,34977,28380,28380,24,133,281,1014,28380,28380,16,35391,13920,18.3,78.8,0.1,0.3,0.4,2,6597,28380,24,109,148,733
W07000078,VALE OF GLAMORGAN,47395,47376,98.6,85.2,84.9,82,84.7,0.1,0.3,0.4,1.3,0.1,99.6,2,46748,40404,40236,40,121,210,628,38852,40146,41,47185,937,13.7,84.9,0.1,0.2,0.2,0.9,6512,40236,40,81,89,418
E14001008,VAUXHALL,60818,60718,98.9,91.5,90.6,65.4,89.9,0,0,0,0.9,0,98.9,0,60175,55627,55084,0,0,0,543,39802,54688,0,60175,0,8.4,90.6,0,0,0,0.9,5091,55084,0,0,0,543
E14001009,WAKEFIELD,43120,43090,98.8,92.6,92.6,88.6,92.6,0,0,0,1.1,0,99.4,45,42608,39912,39912,0,1,12,482,38191,39912,0,42850,19398,6.3,92.6,0,0,0,1.1,2696,39912,0,1,11,470
E14001010,WALLASEY,42237,42227,99.7,95.4,95.4,91.6,95.4,0,0,0,0.3,0,99.9,0,42116,40300,40300,0,0,0,111,38675,40300,0,42175,0,4.3,95.4,0,0,0,0.3,1816,40300,0,0,0,111
E14001011,WALSALL NORTH,40494,40468,99.5,95.5,94.7,49.3,93.8,0,0,0.1,0.4,0,99.6,0,40296,38665,38361,0,0,54,172,19982,37993,0,40349,0,4.8,94.7,0,0,0.1,0.3,1935,38361,0,0,54,118
E14001012,WALSALL SOUTH,39286,39259,99.4,86.5,86.4,70.3,86.4,0,0,0,0.5,0,99.8,0,39047,33967,33953,0,4,7,212,27623,33926,0,39196,0,13,86.4,0,0,0,0.5,5094,33953,0,4,3,205
E14001013,WALTHAMSTOW,48659,48336,97.7,94.4,93.4,77.4,93.3,0,0,0.4,1.6,0,97.8,0,47546,45938,45455,0,0,213,790,37670,45403,2,47579,3,4.3,93.4,0,0,0.4,1.2,2091,45455,0,0,213,577
E14001014,WANSBECK,40255,40249,99,85.5,85.1,85,85,0,0.1,0.1,1,0,99.9,0,39837,34418,34268,10,24,34,412,34232,34234,5,40225,0,13.8,85.1,0,0,0,0.9,5569,34268,10,14,10,378
E14001015,WANTAGE,59501,59471,98.5,83.4,82.2,57.6,81.5,0,0.1,0.3,1.4,0,99.8,0,58630,49645,48902,17,88,178,841,34273,48464,19,59379,0,16.3,82.2,0,0.1,0.2,1.1,9728,48902,17,71,90,663
E14001016,WARLEY,39364,39327,99.8,92.4,92.2,57.9,91.9,0,0,0,0.2,0,99.8,0,39266,36390,36296,0,0,14,61,22787,36181,0,39288,0,7.5,92.2,0,0,0,0.1,2970,36296,0,0,14,47
E14001017,WARRINGTON NORTH,43191,43183,99.4,94.1,92.8,50.8,92,0,0,0.1,0.5,0,99.9,0,42950,40663,40083,9,12,26,233,21932,39753,4,43163,0,6.6,92.8,0,0,0,0.5,2867,40083,9,3,14,207
E14001018,WARRINGTON SOUTH,51815,51808,98.9,91.1,90.5,45.6,90.1,0,0.1,0.1,1.1,0,99.6,0,51224,47186,46905,9,40,49,584,23631,46669,1,51601,0,8.3,90.5,0,0.1,0,1,4319,46905,9,31,9,535
E14001019,WARWICK AND LEAMINGTON,49105,49063,99.6,87.8,83.1,24.6,79.9,0,0,0.1,0.3,0,99.8,0,48902,43098,40829,1,24,39,161,12087,39215,3,48983,0,16.4,83.1,0,0,0,0.2,8073,40829,1,23,15,122
E14001020,WASHINGTON AND SUNDERLAND WEST,40445,40434,99.1,89.3,88.2,33.3,87.9,0,0.1,0.3,0.8,0,99.4,0,40095,36105,35689,19,25,126,339,13477,35535,4,40221,0,10.9,88.2,0,0,0.2,0.5,4406,35689,19,6,101,213
E14001021,WATFORD,52803,52773,99.6,95.7,94.2,75.5,92.7,0,0,0,0.4,0,99.7,0,52567,50550,49717,0,4,16,206,39847,48938,0,52669,0,5.4,94.2,0,0,0,0.4,2850,49717,0,4,12,190
E14001022,WAVENEY,49295,49247,98.7,75.9,75.9,75.9,75.9,0,0.1,0.2,1.2,0.1,99.8,0,48636,37405,37405,20,46,83,611,37405,37405,42,49205,4,22.8,75.9,0,0.1,0.1,1.1,11231,37405,20,26,37,528
E14001023,WEALDEN,47615,47595,97.1,65,64.7,64.6,64.6,0.1,0.3,0.5,2.9,0.2,99.7,0,46212,30938,30810,41,133,252,1383,30779,30781,83,47482,0,32.3,64.7,0.1,0.2,0.2,2.4,15402,30810,41,92,119,1131
E14001024,WEAVER VALE,42578,42569,98,85.2,84.3,65,83.8,0.2,0.3,0.4,2,0.1,99.9,0,41722,36260,35892,74,119,190,847,27673,35694,37,42524,0,13.7,84.3,0.2,0.1,0.2,1.5,5830,35892,74,45,71,657
E14001025,WELLINGBOROUGH,51644,51623,99.4,95.6,95.6,89.6,95.6,0,0.1,0.2,0.5,0,99.8,0,51341,49356,49356,7,72,100,282,46277,49351,9,51540,3,3.8,95.6,0,0.1,0.1,0.4,1985,49356,7,65,28,182
E14001026,WELLS,50035,50005,96.1,81.6,80,78.7,78.7,0.2,0.6,1.2,3.8,0.2,98.6,8.1,48092,40814,40019,89,310,623,1913,39360,39360,85,49321,4070,16.1,80,0.2,0.4,0.6,2.6,8073,40019,89,221,313,1290
E14001027,WELWYN HATFIELD,47189,47178,98.3,81.3,80.1,34.6,79,0,0,0.2,1.7,0,99.6,0,46382,38346,37800,2,16,85,796,16332,37286,1,46990,0,18.2,80.1,0,0,0.1,1.5,8582,37800,2,14,69,711
E14001028,WENTWORTH AND DEARNE,46225,46222,99.6,85.5,84.1,82,83.4,0,0.2,0.2,0.4,0,99.8,4.1,46020,39531,38892,0,106,112,202,37914,38534,0,46116,1895,15.4,84.1,0,0.2,0,0.2,7128,38892,0,106,6,90
S14000058,WEST ABERDEENSHIRE AND KINCARDINE,43618,43527,87.8,36.8,36.6,36.4,36.4,1.8,4,6.4,12,2.3,95.9,0,38281,16030,15945,776,1728,2797,5246,15861,15861,988,41846,1,51.2,36.6,1.8,2.2,2.5,5.6,22336,15945,776,952,1069,2449
E14001029,WEST BROMWICH EAST,38346,38277,99.4,92.1,91.6,47.7,91.1,0,0,0.3,0.4,0,99.4,0,38121,35331,35135,0,1,132,156,18281,34938,0,38123,0,7.8,91.6,0,0,0.3,0.1,2986,35135,0,1,131,24
E14001030,WEST BROMWICH WEST,39686,39666,99.8,92.8,92.6,69.1,92.6,0,0.1,0.1,0.2,0,99.8,0,39596,36809,36746,2,39,40,70,27440,36737,0,39605,0,7.2,92.6,0,0.1,0,0.1,2850,36746,2,37,1,30
E14001031,WEST DORSET,50528,50515,96.1,54.7,54.6,54.6,54.6,0.1,0.5,1.1,3.8,0.2,99.1,1.7,48580,27658,27613,66,265,533,1935,27566,27566,120,50080,846,41.5,54.6,0.1,0.4,0.5,2.8,20967,27613,66,199,268,1402
S14000059,WEST DUNBARTONSHIRE,45548,45385,99.3,93.6,92.8,14.2,91.9,0,0,0.1,0.4,0,99.4,0,45210,42655,42247,2,14,50,175,6490,41847,3,45293,0,6.5,92.8,0,0,0.1,0.3,2963,42247,2,12,36,125
E14001032,WEST HAM,72248,72040,99.3,94.3,91.9,66.4,89,0,0,0.1,0.4,0,99.3,0,71739,68134,66370,1,18,37,301,47946,64271,0,71743,28,7.4,91.9,0,0,0,0.4,5369,66370,1,17,19,264
E14001033,WEST LANCASHIRE,43428,43402,97.1,63.1,55,50,50.2,0.2,0.7,1,2.9,0,99.4,0,42156,27387,23904,87,289,435,1246,21721,21784,8,43186,0,42,55,0.2,0.5,0.3,1.9,18252,23904,87,202,146,811
E14001034,WEST SUFFOLK,54121,54100,98.1,62.9,61,53.3,60,0.2,0.3,0.4,1.9,0.2,99.7,0,53070,34064,33005,87,169,242,1030,28844,32467,86,53976,3,37.1,61,0.2,0.2,0.1,1.5,20065,33005,87,82,73,788
N06000018,WEST TYRONE,38921,38749,97.2,90.7,90.7,90.7,90.7,0.7,1.2,1.4,2.4,0.6,99.4,6.2,37822,35285,35285,270,448,548,927,35285,35285,218,38705,2411,6.5,90.7,0.7,0.5,0.3,1,2537,35285,270,178,100,379
E14001035,WEST WORCESTERSHIRE,46199,46180,95.4,65,64.3,63.8,63.8,0.3,1,1.6,4.6,0.2,99.3,4.2,44067,30045,29696,143,477,743,2113,29475,29475,114,45870,1924,31.1,64.3,0.3,0.7,0.6,3,14371,29696,143,334,266,1370
E14001036,WESTMINSTER NORTH,61323,61090,99,84.7,84.4,83.2,83.7,0,0,0,0.6,0,99.1,0,60740,51953,51740,0,0,1,350,51029,51319,0,60744,0,14.7,84.4,0,0,0,0.6,9000,51740,0,0,1,349
E14001037,WESTMORLAND AND LONSDALE,43798,43770,96.6,60.1,60.1,60,60,0.2,0.5,1,3.4,0.4,99.1,39.2,42289,26326,26308,84,210,420,1481,26299,26299,165,43409,17158,36.5,60.1,0.2,0.3,0.5,2.4,15981,26308,84,126,210,1061
E14001038,WESTON-SUPER-MARE,53142,53089,95.9,76,71.9,68.7,69.2,0.1,0.2,0.5,4,0.3,98.2,0,50940,40399,38207,28,106,280,2149,36512,36790,148,52178,1,24,71.9,0.1,0.1,0.3,3.5,12733,38207,28,78,174,1869
E14001039,WIGAN,48775,48760,98.9,93.7,93.3,54.7,93.1,0,0.1,0.3,1.1,0,99.6,0,48217,45693,45490,10,51,150,543,26656,45432,6,48597,0,5.6,93.3,0,0.1,0.2,0.8,2727,45490,10,41,99,393
E14001040,WIMBLEDON,44296,44281,99.5,91.6,91.6,63.3,91.6,0,0,0,0.5,0,99.5,0,44054,40574,40568,0,4,22,227,28057,40568,0,44076,0,7.9,91.6,0,0,0,0.5,3486,40568,0,4,18,205
E14001041,WINCHESTER,43573,43504,96.2,64.1,64.1,11.2,64.1,0.3,0.5,1,3.6,0.2,99.1,0,41921,27935,27935,116,226,455,1583,4865,27935,82,43196,0,32.1,64.1,0.3,0.3,0.5,2.6,13986,27935,116,110,229,1128
E14001042,WINDSOR,47782,47705,97.6,87,85.4,63.8,84.4,0,0.1,0.3,2.3,0,98.6,0,46619,41559,40808,7,48,149,1086,30485,40315,12,47101,14,12.2,85.4,0,0.1,0.2,2,5811,40808,7,41,101,937
E14001043,WIRRAL SOUTH,33224,33222,98.8,91.6,91.6,86.1,91.6,0.1,0.1,0.1,1.2,0,100,0,32814,30449,30449,20,27,43,408,28608,30449,0,33217,0,7.1,91.6,0.1,0,0,1.1,2365,30449,20,7,16,365
E14001044,WIRRAL WEST,32001,31999,98.7,88.2,88.2,81.9,88.2,0,0.1,0.1,1.3,0,99.8,0,31580,28218,28218,4,26,45,419,26222,28218,0,31930,0,10.5,88.2,0,0.1,0.1,1.2,3362,28218,4,22,19,374
E14001045,WITHAM,42600,42573,98.5,62.9,62.9,57,62.9,0.1,0.2,0.5,1.4,0.1,99.8,12.3,41960,26783,26783,30,90,193,613,24262,26783,23,42511,5225,35.6,62.9,0.1,0.1,0.2,1,15177,26783,30,60,103,420
E14001046,WITNEY,52150,52134,99.6,94.6,93.5,79.2,92.6,0,0,0.1,0.4,0,99.8,0,51923,49319,48741,9,20,43,211,41309,48292,15,52048,0,6.1,93.5,0,0,0,0.3,3182,48741,9,11,23,168
E14001047,WOKING,46087,46009,98.1,86.3,83.8,34.1,79.6,0,0.1,0.1,1.7,0,99.1,0,45220,39760,38640,0,37,46,789,15709,36703,5,45678,0,14.3,83.8,0,0.1,0,1.6,6580,38640,0,37,9,743
E14001048,WOKINGHAM,50723,50633,98.1,83.6,81.2,60.3,79.4,0,0.1,0.4,1.7,0,98.7,0,49760,42395,41196,3,32,199,873,30570,40292,2,50065,0,16.9,81.2,0,0.1,0.3,1.3,8564,41196,3,29,167,674
E14001049,WOLVERHAMPTON NORTH EAST,39986,39981,99.8,98.1,98.1,90.5,97.9,0,0,0,0.2,0,99.8,0,39909,39239,39210,0,0,3,72,36184,39164,0,39924,13,1.7,98.1,0,0,0,0.2,699,39210,0,0,3,69
E14001050,WOLVERHAMPTON SOUTH EAST,40233,40216,99.6,96.7,96.6,77.4,96.6,0,0,0,0.4,0,99.7,1.2,40052,38906,38875,0,0,1,164,31152,38851,0,40109,481,2.9,96.6,0,0,0,0.4,1177,38875,0,0,1,163
E14001051,WOLVERHAMPTON SOUTH WEST,38191,38158,98.7,97.1,96.5,85.3,96.3,0,0,0,1.2,0,98.7,13.2,37689,37078,36871,0,0,3,469,32584,36772,0,37698,5029,2.1,96.5,0,0,0,1.2,818,36871,0,0,3,466
E14001052,WORCESTER,46736,46698,99.6,82.9,81.6,80,80,0,0,0,0.3,0,99.8,0,46555,38752,38157,0,0,0,143,37382,37382,0,46648,0,18,81.6,0,0,0,0.3,8398,38157,0,0,0,143
E14001053,WORKINGTON,38660,38651,95.3,38.9,38.9,38.9,38.9,0.8,1.3,1.8,4.7,0.3,99.6,1.3,36832,15035,15035,300,487,683,1819,15035,15035,116,38523,507,56.4,38.9,0.8,0.5,0.5,2.9,21797,15035,300,187,196,1136
E14001054,WORSLEY AND ECCLES SOUTH,48314,48310,99.5,98.3,98.3,95.7,98.3,0,0.1,0.2,0.5,0,99.6,0,48054,47516,47516,3,64,94,256,46213,47516,0,48126,0,1.1,98.3,0,0.1,0.1,0.3,538,47516,3,61,30,162
E14001055,WORTHING WEST,48122,48113,99.3,81.9,77.4,70.7,74.6,0,0,0,0.7,0,99.9,0,47787,39434,37233,0,0,0,326,34007,35903,0,48096,0,21.9,77.4,0,0,0,0.7,10554,37233,0,0,0,326
W07000044,WREXHAM,32957,32755,98.2,74.6,74.6,74.6,74.6,0,0.1,0.2,1.2,0,98.9,43.5,32352,24582,24582,0,26,76,403,24581,24582,2,32600,14341,23.6,74.6,0,0.1,0.2,1,7770,24582,0,26,50,327
E14001056,WYCOMBE,46072,46016,98.7,80.3,75.6,61.3,72.6,0,0.1,0.2,1.2,0.1,99.9,0,45469,37007,34821,19,57,79,547,28250,33440,36,46004,0,23.1,75.6,0,0.1,0,1,10648,34821,19,38,22,468
E14001057,WYRE AND PRESTON NORTH,46555,46467,97.6,79.8,78.8,60.8,78.5,0,0.3,0.6,2.2,0,99.1,1,45447,37150,36692,21,141,259,1020,28292,36549,17,46136,484,18.8,78.8,0,0.3,0.3,1.6,8755,36692,21,120,118,761
E14001058,WYRE FOREST,46487,46440,98.2,78.9,78.9,55.3,78.9,0.1,0.2,0.4,1.7,0.1,99.8,3.4,45646,36687,36687,43,108,165,794,25727,36687,38,46387,1588,19.3,78.9,0.1,0.1,0.1,1.4,8959,36687,43,65,57,629
E14001059,WYTHENSHAWE AND SALE EAST,48364,48360,99.2,96.8,96.5,84.6,95.7,0,0.2,0.4,0.8,0,99.3,0,47982,46823,46659,4,95,193,378,40927,46294,0,48022,0,2.7,96.5,0,0.2,0.2,0.4,1323,46659,4,91,98,185
E14001060,YEOVIL,52717,52695,96.2,65.6,65.6,65.6,65.6,0.2,0.7,1.3,3.7,0.1,99,0,50734,34597,34597,117,394,689,1961,34597,34597,47,52177,14,30.6,65.6,0.2,0.5,0.6,2.4,16137,34597,117,277,295,1272
W07000041,YNYS MÔN,34931,34869,94,36.2,36.1,36.2,36.2,0.6,1.4,2.3,5.8,0.6,98,25.3,32846,12633,12616,211,478,811,2023,12633,12633,219,34235,8838,57.9,36.1,0.6,0.8,1,3.5,20230,12616,211,267,333,1212
E14001061,YORK CENTRAL,48715,48622,97.8,93.6,91.4,76,89.4,0,0,0.2,2,0,97.9,13,47632,45593,44538,0,20,84,990,37016,43545,0,47693,6334,6.4,91.4,0,0,0.1,1.9,3094,44538,0,20,64,906
E14001062,YORK OUTER,41525,41513,97.7,83.8,83.2,78.2,82.5,0.1,0.2,0.5,2.3,0,99.6,29.5,40571,34809,34542,36,100,221,942,32452,34270,3,41352,12232,14.5,83.2,0.1,0.2,0.3,1.7,6029,34542,36,64,121,721
