Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Belgium,NGA coverage,Total,% of Households,98.3%,98.8%,98.9%,98.4%,98.3%,98.7%,99.1%,99.3%,99.1%,99.4%,99.6%,
Belgium,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66.5%,67.5%,68.9%,78.3%,96.0%,
Belgium,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Belgium,DSL,Total,% of Households,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.8%,99.9%,99.9%,
Belgium,VDSL,Total,% of Households,88.5%,90.0%,90.4%,92.5%,94.0%,94.4%,95.5%,96.8%,96.8%,96.9%,96.5%,
Belgium,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52.3%,54.6%,51.6%,47.9%,43.8%,
Belgium,FTTP,Total,% of Households,0.4%,0.4%,0.4%,0.6%,0.8%,1.4%,3.6%,6.5%,10.1%,17.2%,25.0%,
Belgium,Cable modem DOCSIS 3.0,Total,% of Households,92.0%,93.0%,93.7%,93.8%,93.9%,93.9%,93.5%,93.6%,96.5%,95.7%,96.0%,
Belgium,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.6%,65.8%,67.7%,74.4%,95.4%,
Belgium,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,97.7%,99.8%,99.8%,
Belgium,LTE,Total,% of Households,45.6%,67.8%,85.6%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,#N/A,
Belgium,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,94.5%,96.6%,99.6%,99.7%,100.0%,100.0%,#N/A,#N/A,
Belgium,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.4%,4.2%,29.6%,40.4%,
Belgium,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.6%,14.2%,
Belgium,Satellite,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Belgium,Overall broadband coverage,Total,% of Households,99.9%,99.9%,99.9%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
