Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Ireland,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Ireland,DSL,Total,% of Households,92.5%,92.5%,92.5%,92.5%,93.2%,93.2%,93.3%,93.3%,92.9%,93.0%,93.0%,
Ireland,VDSL,Total,% of Households,33.2%,60.8%,70.6%,80.6%,86.1%,91.0%,92.1%,92.5%,85.7%,85.7%,85.7%,
Ireland,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.8%,62.9%,64.1%,67.3%,80.2%,
Ireland,FTTP,Total,% of Households,1.7%,1.7%,4.5%,5.5%,8.3%,12.9%,35.4%,47.7%,62.2%,72.1%,78.5%,
Ireland,Cable modem DOCSIS 3.0,Total,% of Households,40.6%,40.7%,42.0%,43.1%,48.6%,48.7%,49.2%,49.8%,48.6%,48.6%,41.9%,
Ireland,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,48.6%,48.5%,48.5%,41.7%,
Ireland,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.7%,29.8%,30.0%,30.0%,30.0%,
Ireland,LTE,Total,% of Households,35.2%,87.0%,90.1%,96.7%,97.2%,95.8%,99.0%,99.0%,99.0%,99.0%,#N/A,
Ireland,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,91.8%,92.1%,95.7%,98.7%,99.0%,99.0%,#N/A,#N/A,
Ireland,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30.5%,72.1%,83.9%,85.3%,
Ireland,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.0%,56.7%,
Ireland,Satellite,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Ireland,Overall broadband coverage,Total,% of Households,97.6%,97.6%,97.6%,99.6%,99.7%,99.3%,#N/A,#N/A,#N/A,#N/A,#N/A,
Ireland,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,52.6%,56.1%,#N/A,#N/A,#N/A,#N/A,#N/A,
Ireland,Cable modem,Total,% of Households,42.4%,42.4%,42.7%,43.3%,48.6%,48.7%,#N/A,#N/A,#N/A,#N/A,#N/A,
Ireland,WiMAX,Total,% of Households,26.6%,26.6%,26.6%,26.6%,28.0%,28.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Ireland,HSPA,Total,% of Households,94.8%,94.6%,94.6%,99.2%,99.5%,98.1%,#N/A,#N/A,#N/A,#N/A,#N/A,
Italy,Land area,Total,km squared,30133670.0%,30133670.0%,30133670.0%,30133670.0%,30133670.0%,30133670.0%,30133670.0%,30133670.0%,30133670.0%,30133670.0%,30133670.0%,
Italy,Population,Total,###,5893170200.0%,5968522700.0%,6078266800.0%,6079561200.0%,6066555100.0%,6058944500.0%,6048397300.0%,6048397300.0%,5965561343.1%,5923621300.0%,5903013300.0%,
Italy,Households,Total,###,2454857725.0%,2491209930.0%,2537197495.3%,2537801907.6%,2532384538.2%,2529321616.7%,2506039421.2%,2460815400.0%,2460815400.0%,2410698937.9%,2402025064.0%,
Italy,Broadband coverage (>2Mbps),Total,% of Households,95.3%,95.7%,98.1%,95.8%,95.9%,96.0%,96.1%,96.1%,#N/A,#N/A,#N/A,
Italy,Broadband coverage (>30Mbps),Total,% of Households,15.9%,27.2%,43.6%,63.0%,75.7%,76.7%,77.5%,82.0%,90.6%,92.3%,94.2%,
Italy,Broadband coverage (>100Mbps),Total,% of Households,12.2%,14.8%,16.4%,18.8%,21.7%,23.9%,61.0%,67.0%,77.6%,82.8%,87.1%,
Italy,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30.0%,33.7%,44.2%,53.5%,59.6%,
Italy,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44.2%,53.5%,59.6%,
Italy,Fixed broadband coverage,Total,% of Households,98.8%,99.1%,99.3%,99.3%,99.3%,99.8%,99.6%,99.6%,99.8%,99.8%,100.0%,
Italy,NGA coverage,Total,% of Households,20.9%,31.7%,41.0%,72.3%,86.8%,87.9%,88.9%,92.7%,97.0%,97.6%,98.4%,
Italy,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30.0%,33.7%,44.2%,53.7%,59.6%,
Italy,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,92.9%,
Italy,DSL,Total,% of Households,97.1%,98.2%,98.4%,98.5%,98.6%,99.7%,99.6%,99.6%,99.8%,99.8%,99.8%,
Italy,VDSL,Total,% of Households,14.7%,24.3%,32.8%,66.4%,82.4%,87.9%,88.9%,92.7%,96.0%,96.2%,96.4%,
Italy,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.8%,59.9%,68.3%,70.1%,70.6%,
Italy,FTTP,Total,% of Households,12.2%,14.8%,16.4%,18.8%,21.7%,23.9%,30.0%,33.7%,44.2%,53.7%,59.6%,
Italy,Cable modem DOCSIS 3.0,Total,% of Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Italy,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Italy,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,72.9%,72.3%,97.3%,97.4%,100.0%,
Italy,LTE,Total,% of Households,39.3%,77.0%,89.7%,98.2%,98.7%,98.9%,98.9%,99.3%,99.9%,99.9%,#N/A,
Italy,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,86.2%,91.1%,97.1%,97.1%,98.0%,94.9%,#N/A,#N/A,
Italy,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.1%,99.7%,99.7%,99.5%,
Italy,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,80.3%,88.3%,
Italy,Satellite,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Italy,Overall broadband coverage,Total,% of Households,98.8%,99.4%,99.6%,99.8%,99.8%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Italy,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,21.7%,23.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
Italy,Cable modem,Total,% of Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#N/A,
Italy,WiMAX,Total,% of Households,48.0%,47.2%,47.0%,46.9%,46.9%,46.8%,#N/A,#N/A,#N/A,#N/A,#N/A,
Italy,HSPA,Total,% of Households,97.0%,97.7%,98.3%,99.4%,99.4%,99.5%,#N/A,#N/A,#N/A,#N/A,#N/A,
Lithuania,Land area,Total,km squared,6530000.0%,6530000.0%,6530000.0%,6530000.0%,6530000.0%,6530000.0%,6530000.0%,6530000.0%,6530000.0%,6530000.0%,6530000.0%,
Lithuania,Population,Total,###,300775800.0%,297190500.0%,294347200.0%,292126200.0%,288855800.0%,284790400.0%,284790400.0%,279418400.0%,279409000.0%,279568000.0%,280599800.0%,
Lithuania,Households,Total,###,130772078.1%,129213251.9%,127977034.6%,127011382.3%,125589471.0%,123821903.8%,118259959.8%,106927759.8%,106910280.5%,106960983.1%,107369552.0%,
Lithuania,Broadband coverage (>2Mbps),Total,% of Households,79.1%,79.9%,80.3%,81.0%,82.0%,84.9%,85.3%,84.6%,#N/A,#N/A,#N/A,
Lithuania,Broadband coverage (>30Mbps),Total,% of Households,48.1%,48.7%,49.3%,50.1%,54.4%,62.7%,63.6%,70.6%,84.6%,86.7%,86.9%,
Lithuania,Broadband coverage (>100Mbps),Total,% of Households,48.7%,49.2%,49.6%,50.1%,54.4%,60.6%,61.2%,67.3%,78.1%,86.7%,86.9%,
Lithuania,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.9%,66.9%,78.0%,77.8%,78.0%,
Lithuania,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,78.0%,77.8%,78.0%,
Lithuania,Fixed broadband coverage,Total,% of Households,79.6%,80.1%,80.6%,81.0%,82.0%,84.9%,85.3%,84.8%,88.8%,89.2%,89.5%,
Lithuania,NGA coverage,Total,% of Households,48.7%,49.2%,49.6%,50.1%,54.4%,62.7%,69.4%,70.8%,84.8%,86.9%,87.0%,
Lithuania,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61.0%,67.1%,78.2%,78.0%,78.1%,
Lithuania,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98.3%,
Lithuania,DSL,Total,% of Households,69.1%,69.2%,69.3%,69.8%,69.9%,69.9%,70.6%,72.9%,85.5%,85.2%,85.2%,
Lithuania,VDSL,Total,% of Households,0.0%,0.0%,0.0%,0.0%,1.2%,2.3%,3.0%,4.1%,40.1%,77.7%,78.0%,
Lithuania,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,77.7%,78.0%,
Lithuania,FTTP,Total,% of Households,48.7%,49.2%,49.6%,50.1%,54.4%,60.6%,61.0%,67.1%,78.2%,78.0%,78.1%,
Lithuania,Cable modem DOCSIS 3.0,Total,% of Households,42.8%,42.9%,14.3%,15.8%,17.1%,18.1%,17.9%,19.4%,27.1%,26.5%,25.6%,
Lithuania,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Lithuania,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,14.7%,26.3%,
Lithuania,LTE,Total,% of Households,29.3%,79.9%,90.2%,98.9%,99.1%,99.2%,100.0%,100.0%,100.0%,100.0%,#N/A,
Lithuania,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,95.7%,97.7%,97.7%,99.8%,99.8%,99.9%,#N/A,#N/A,
Lithuania,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,33.3%,90.1%,98.9%,
Lithuania,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,35.9%,61.4%,
Lithuania,Satellite,Total,% of Households,50.0%,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Lithuania,Overall broadband coverage,Total,% of Households,98.6%,99.4%,99.5%,99.5%,99.6%,99.7%,#N/A,#N/A,#N/A,#N/A,#N/A,
Lithuania,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,54.4%,60.6%,#N/A,#N/A,#N/A,#N/A,#N/A,
Lithuania,Cable modem,Total,% of Households,53.3%,53.4%,29.9%,33.2%,33.3%,34.4%,#N/A,#N/A,#N/A,#N/A,#N/A,
Lithuania,WiMAX,Total,% of Households,85.0%,90.3%,6.1%,5.0%,2.3%,1.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Lithuania,HSPA,Total,% of Households,95.2%,98.6%,98.9%,99.4%,99.5%,99.7%,#N/A,#N/A,#N/A,#N/A,#N/A,
Latvia,Land area,Total,km squared,6456200.0%,6456200.0%,6456200.0%,6456200.0%,6456200.0%,6456200.0%,6456200.0%,6456200.0%,6456200.0%,6456200.0%,6456200.0%,
Latvia,Population,Total,###,204176300.0%,202382500.0%,200146800.0%,198609600.0%,198609600.0%,195011600.0%,193437900.0%,191996800.0%,190767500.0%,189322300.0%,187575700.0%,
Latvia,Households,Total,###,78529324.6%,77839401.2%,76979516.9%,82754000.0%,75696363.2%,81254833.3%,80167264.4%,74714999.0%,74212013.3%,73602559.6%,72887144.7%,
Latvia,Broadband coverage (>2Mbps),Total,% of Households,77.0%,75.0%,72.0%,70.5%,70.0%,70.0%,71.0%,71.5%,#N/A,#N/A,#N/A,
Latvia,Broadband coverage (>30Mbps),Total,% of Households,56.0%,56.0%,56.0%,55.0%,56.4%,58.6%,63.7%,65.7%,66.7%,67.6%,68.3%,
Latvia,Broadband coverage (>100Mbps),Total,% of Households,50.0%,52.0%,52.9%,53.0%,54.0%,55.9%,60.0%,61.6%,62.4%,62.6%,63.6%,
Latvia,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Latvia,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Latvia,Fixed broadband coverage,Total,% of Households,85.0%,78.8%,73.9%,71.6%,70.2%,70.8%,71.1%,72.4%,72.9%,73.0%,74.0%,
Latvia,NGA coverage,Total,% of Households,60.0%,62.7%,58.8%,59.1%,60.8%,61.5%,64.9%,67.1%,68.1%,69.3%,72.0%,
Latvia,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.3%,59.8%,62.5%,62.7%,71.4%,
Latvia,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73.2%,
Latvia,DSL,Total,% of Households,38.0%,30.0%,28.9%,26.6%,25.3%,24.9%,23.6%,22.7%,21.6%,21.4%,21.4%,
Latvia,VDSL,Total,% of Households,6.0%,8.4%,10.1%,9.9%,12.9%,12.1%,12.2%,13.6%,14.2%,16.5%,15.2%,
Latvia,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,13.5%,14.1%,16.5%,15.2%,
Latvia,FTTP,Total,% of Households,50.1%,52.4%,53.3%,53.5%,54.2%,55.1%,58.3%,59.8%,60.7%,60.9%,61.9%,
Latvia,Cable modem DOCSIS 3.0,Total,% of Households,17.8%,20.6%,20.9%,21.0%,21.2%,21.3%,22.6%,22.6%,22.5%,22.3%,22.2%,
Latvia,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,18.4%,18.2%,18.1%,
Latvia,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.9%,3.9%,3.9%,3.9%,4.0%,
Latvia,LTE,Total,% of Households,27.5%,65.0%,89.0%,93.0%,98.4%,98.6%,100.0%,100.0%,100.0%,100.0%,#N/A,
Latvia,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,83.7%,97.7%,90.8%,99.3%,99.5%,99.5%,#N/A,#N/A,
Latvia,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,42.0%,53.1%,
Latvia,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20.6%,39.0%,
Latvia,Satellite,Total,% of Households,20.3%,20.3%,20.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Latvia,Overall broadband coverage,Total,% of Households,99.5%,99.6%,99.6%,96.2%,98.4%,98.7%,#N/A,#N/A,#N/A,#N/A,#N/A,
Latvia,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,88.4%,83.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Latvia,Cable modem,Total,% of Households,33.9%,34.3%,34.5%,32.1%,34.9%,32.4%,#N/A,#N/A,#N/A,#N/A,#N/A,
Latvia,WiMAX,Total,% of Households,40.4%,44.6%,44.9%,41.3%,38.5%,38.2%,#N/A,#N/A,#N/A,#N/A,#N/A,
Latvia,HSPA,Total,% of Households,99.0%,99.2%,99.2%,92.3%,92.3%,92.3%,#N/A,#N/A,#N/A,#N/A,#N/A,
Luxembourg,Land area,Total,km squared,258640.0%,258640.0%,258640.0%,258640.0%,258640.0%,258640.0%,258640.0%,258640.0%,258640.0%,258640.0%,258640.0%,
Luxembourg,Population,Total,###,53703900.0%,54968000.0%,54968000.0%,56295800.0%,57624900.0%,59066700.0%,60200500.0%,61389400.0%,62610800.0%,63473000.0%,64539700.0%,
Luxembourg,Households,Total,###,21838600.0%,22010700.0%,22788600.0%,22892591.7%,23433068.0%,24019373.5%,24480431.4%,24811469.2%,25305116.8%,25653588.2%,26084711.4%,
Luxembourg,Broadband coverage (>2Mbps),Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,
Luxembourg,Broadband coverage (>30Mbps),Total,% of Households,94.8%,94.4%,94.4%,94.1%,93.2%,97.6%,97.8%,99.7%,99.8%,97.5%,97.3%,
Luxembourg,Broadband coverage (>100Mbps),Total,% of Households,79.6%,82.5%,87.6%,89.7%,86.6%,94.0%,94.6%,99.3%,99.4%,95.1%,95.4%,
Luxembourg,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,90.7%,91.7%,92.6%,93.3%,94.7%,
Luxembourg,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,78.9%,
Luxembourg,Fixed broadband coverage,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Luxembourg,NGA coverage,Total,% of Households,94.3%,94.4%,94.4%,94.4%,94.6%,94.9%,95.5%,96.3%,97.0%,97.5%,97.3%,
Luxembourg,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,90.7%,91.7%,92.6%,93.3%,94.7%,
Luxembourg,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,94.7%,
Luxembourg,DSL,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,89.0%,83.4%,72.0%,65.6%,59.7%,23.6%,
Luxembourg,VDSL,Total,% of Households,88.6%,88.8%,88.8%,88.2%,87.2%,78.3%,75.5%,65.5%,59.8%,54.5%,23.0%,
Luxembourg,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52.9%,8.8%,13.1%,15.2%,11.3%,
Luxembourg,FTTP,Total,% of Households,36.0%,42.8%,47.1%,51.5%,57.2%,63.4%,67.5%,72.1%,75.2%,76.2%,78.9%,
Luxembourg,Cable modem DOCSIS 3.0,Total,% of Households,62.7%,65.0%,75.2%,74.3%,73.2%,84.0%,83.9%,88.9%,90.2%,88.3%,87.6%,
Luxembourg,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.9%,88.9%,90.2%,82.5%,84.0%,
Luxembourg,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Luxembourg,LTE,Total,% of Households,79.9%,96.0%,96.2%,98.1%,98.6%,98.7%,99.8%,99.8%,99.8%,99.9%,#N/A,
Luxembourg,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,95.4%,98.3%,99.0%,98.0%,98.3%,98.4%,#N/A,#N/A,
Luxembourg,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,12.7%,93.2%,99.6%,
Luxembourg,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,51.3%,63.1%,
Luxembourg,Satellite,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Luxembourg,Overall broadband coverage,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Luxembourg,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,86.6%,92.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Luxembourg,Cable modem,Total,% of Households,68.2%,70.5%,80.5%,78.6%,77.9%,84.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Luxembourg,WiMAX,Total,% of Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Luxembourg,HSPA,Total,% of Households,99.6%,99.6%,99.6%,98.9%,98.9%,98.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
Malta,Land area,Total,km squared,31600.0%,31600.0%,31600.0%,31600.0%,31600.0%,31600.0%,31600.0%,31600.0%,31600.0%,31600.0%,31600.0%,
Malta,Population,Total,###,42297800.0%,42538400.0%,43162900.0%,42934400.0%,43440300.0%,46029700.0%,47570100.0%,49355900.0%,51456400.0%,51610000.0%,52097100.0%,
Malta,Households,Total,###,15671000.0%,15298600.0%,16451200.0%,16364109.0%,16556928.8%,17543858.3%,17534728.4%,18167991.2%,18941050.0%,18997601.1%,19176900.3%,
Malta,Broadband coverage (>2Mbps),Total,% of Households,100.0%,99.8%,99.8%,99.8%,100.0%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,
Malta,Broadband coverage (>30Mbps),Total,% of Households,100.0%,99.5%,99.5%,99.4%,99.9%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,Broadband coverage (>100Mbps),Total,% of Households,100.0%,99.4%,99.4%,99.4%,99.9%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,
Malta,Fixed broadband coverage,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,NGA coverage,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0%,
Malta,DSL,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,VDSL,Total,% of Households,75.0%,75.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%,
Malta,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Malta,FTTP,Total,% of Households,0.8%,8.4%,10.4%,16.0%,23.0%,31.6%,39.2%,41.0%,48.0%,56.2%,69.6%,
Malta,Cable modem DOCSIS 3.0,Total,% of Households,100.0%,100.0%,100.0%,99.9%,99.9%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,LTE,Total,% of Households,30.0%,67.0%,72.0%,99.5%,99.9%,99.9%,100.0%,100.0%,100.0%,100.0%,#N/A,
Malta,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,99.3%,99.4%,82.9%,100.0%,100.0%,100.0%,#N/A,#N/A,
Malta,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,20.0%,100.0%,100.0%,
Malta,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20.0%,24.7%,
Malta,Satellite,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,Overall broadband coverage,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Malta,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,99.9%,99.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
Malta,Cable modem,Total,% of Households,100.0%,100.0%,100.0%,99.9%,99.9%,99.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
Malta,WiMAX,Total,% of Households,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Malta,HSPA,Total,% of Households,100.0%,99.0%,99.0%,99.9%,99.9%,99.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
Netherlands,Land area,Total,km squared,4154100.0%,4154100.0%,4154100.0%,4154100.0%,4154100.0%,4154100.0%,4154100.0%,4154100.0%,4154100.0%,4154100.0%,4154100.0%,
Netherlands,Population,Total,###,1673034800.0%,1677957500.0%,1682928900.0%,1690072600.0%,1697912000.0%,1708150700.0%,1715356300.0%,1728216300.0%,1740758500.0%,1740758500.0%,1759067200.0%,
Netherlands,Households,Total,###,762972300.0%,757945094.4%,760293027.6%,758103900.0%,761665829.6%,766269482.4%,795781500.0%,795781500.0%,797282500.0%,806068400.0%,814671000.0%,
Netherlands,Broadband coverage (>2Mbps),Total,% of Households,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,#N/A,#N/A,#N/A,
Netherlands,Broadband coverage (>30Mbps),Total,% of Households,97.6%,98.4%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.9%,98.9%,98.9%,
Netherlands,Broadband coverage (>100Mbps),Total,% of Households,88.9%,91.9%,91.9%,92.0%,92.9%,93.0%,95.8%,95.8%,98.5%,98.7%,98.7%,
Netherlands,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.2%,16.0%,88.8%,97.8%,98.2%,
